"batch_id"	"window_id"	"instrument"	"attempt_tag"	"status"	"run_key"	"elapsed_seconds"	"recorded_at_utc"	"quarantine_path"
"BATCH_20260812T090709113Z"	"FRA40_20260427_EVENT_HEAVY"	"FRA40"	"F2_FRA40_20260427_EVT_A01"	"QUARANTINED"	"\N"	"4.722"	"2026-08-12T09:07:13.8874760Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T050713870Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A01"
"BATCH_20260812T090709113Z"	"JPN225_20260316_SHARP_REVERSAL"	"JPN225"	"F2_JPN225_20260316_REV_A01"	"QUARANTINED"	"\N"	"5.678"	"2026-08-12T09:07:19.5746281Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T050719571Z__JPN225_20260316_SHARP_REVERSAL__F2_JPN225_20260316_REV_A01"
"BATCH_20260812T090709113Z"	"US30_20260427_ORDINARY"	"US30"	"F2_US30_20260427_ORD_A01"	"QUARANTINED"	"\N"	"6.158"	"2026-08-12T09:07:25.7382599Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T050725735Z__US30_20260427_ORDINARY__F2_US30_20260427_ORD_A01"
"BATCH_20260812T091913630Z"	"FRA40_20260427_EVENT_HEAVY"	"FRA40"	"F2_FRA40_20260427_EVT_A03"	"QUARANTINED"	"\N"	"23.872"	"2026-08-12T09:19:37.5380457Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T051937526Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A03"
"BATCH_20260812T091913630Z"	"JPN225_20260316_SHARP_REVERSAL"	"JPN225"	"F2_JPN225_20260316_REV_A02"	"QUARANTINED"	"\N"	"34.487"	"2026-08-12T09:20:12.0361900Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T052012032Z__JPN225_20260316_SHARP_REVERSAL__F2_JPN225_20260316_REV_A02"
"BATCH_20260812T091913630Z"	"US30_20260427_ORDINARY"	"US30"	"F2_US30_20260427_ORD_A02"	"QUARANTINED"	"\N"	"40.218"	"2026-08-12T09:20:52.2592033Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T052052256Z__US30_20260427_ORDINARY__F2_US30_20260427_ORD_A02"
"BATCH_20260812T091913630Z"	"FRA40_20260427_EVENT_HEAVY"	"FRA40"	"F2_FRA40_20260427_EVT_A03"	"ADMISSION_RECONCILED"	"RG2_FRA40_PERIOD_M5_1777248000_1777589700_9554760657515700142"	"23.872"	"2026-08-12T09:21:59.8684303Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T051937526Z__FRA40_20260427_EVENT_HEAVY__F2_FRA40_20260427_EVT_A03"
"BATCH_20260812T091913630Z"	"JPN225_20260316_SHARP_REVERSAL"	"JPN225"	"F2_JPN225_20260316_REV_A02"	"ADMISSION_RECONCILED"	"RG2_JPN225_PERIOD_M5_1773619200_1774047300_3195075028303676313"	"34.487"	"2026-08-12T09:21:59.8766697Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T052012032Z__JPN225_20260316_SHARP_REVERSAL__F2_JPN225_20260316_REV_A02"
"BATCH_20260812T091913630Z"	"US30_20260427_ORDINARY"	"US30"	"F2_US30_20260427_ORD_A02"	"ADMISSION_RECONCILED"	"RG2_US30_PERIOD_M5_1777248000_1777676100_6859180431116322748"	"40.218"	"2026-08-12T09:21:59.8870202Z"	"C:\Users\shuga\OneDrive\Documents\ChatGPT\eas\furnace\quarantine\20260812T052052256Z__US30_20260427_ORDINARY__F2_US30_20260427_ORD_A02"
"BATCH_20260812T092301016Z"	"DE40_20251215_PROLONGED_BALANCE"	"DE40"	"F2_DE40_20251215_BAL_A01"	"ADMITTED"	"RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957"	"40.444"	"2026-08-12T09:23:41.5313004Z"	"\N"
