target	cluster_unit	clusters	rows	mean_cluster_size	median_cluster_size	maximum_cluster_size	icc	design_effect	effective_n
reclaim_given_break	run_key	20	1547	77.35	67.5	187.0	0.0027199807190526745	1.2076705278996718	1280.9785154652034
reclaim_given_break	episode_id	551	1547	2.807622504537205	2.0	20.0	0.03744227736741765	1.0676815031904683	1448.9339708304603
initial_acceptance_given_initial_contact	run_key	20	5051	252.55	250.5	436.0	0.01194244060549002	4.004120934311015	1261.4504114294741
initial_acceptance_given_initial_contact	episode_id	897	5051	5.630992196209587	3.0	44.0	0.21285232605006033	1.985717460882888	2543.664997413191
rejection_given_initial_contact	run_key	20	5051	252.55	250.5	436.0	0.03711088117469286	10.33524215949399	488.7161734628669
rejection_given_initial_contact	episode_id	897	5051	5.630992196209587	3.0	44.0	0.5515152847857553	3.554062979933141	1421.1903470813056
retest_hold_given_retest_contact	run_key	20	1251	62.55	60.5	107.0	0.10205806509386652	7.281673906527484	171.80115672010123
retest_hold_given_retest_contact	episode_id	329	1251	3.802431610942249	2.0	28.0	0.5206369669258651	2.4590494939381387	508.7331520101038
transit_given_episode_acceptance	run_key	19	263	13.842105263157896	13.0	30.0	0.04385025954271655	1.56312964886436	168.25219852433477
transit_given_episode_acceptance	episode_id	263	263	1.0	\N	\N	\N	\N	263.0
