target	feature	feature_kind	available_at_eligibility	present	missing_share	unique_values	model_eligible
reclaim_given_break	ordinal	NUMERIC	True	True	0.0	85	True
reclaim_given_break	direction	NUMERIC	True	True	0.0	2	True
reclaim_given_break	node_width_atr	NUMERIC	True	True	0.0	1968	True
reclaim_given_break	initial_distance_atr	NUMERIC	True	True	0.0	2049	True
reclaim_given_break	approach_efficiency	NUMERIC	True	True	0.0	1579	True
reclaim_given_break	corridor_up_atr	NUMERIC	True	True	0.006753497346840328	2056	True
reclaim_given_break	corridor_down_atr	NUMERIC	True	True	0.012542209358417752	2045	True
reclaim_given_break	family_count	NUMERIC	True	True	0.0	6	True
reclaim_given_break	member_count	NUMERIC	True	True	0.0	17	True
reclaim_given_break	developing_count	NUMERIC	True	True	0.0	6	True
reclaim_given_break	frozen_count	NUMERIC	True	True	0.0	14	True
reclaim_given_break	node_revision	NUMERIC	True	True	0.0	712	True
reclaim_given_break	node_age_seconds	NUMERIC	True	True	0.0	1504	True
reclaim_given_break	corridor_up_level_count	NUMERIC	True	True	0.0	23	True
reclaim_given_break	corridor_down_level_count	NUMERIC	True	True	0.0	23	True
reclaim_given_break	corridor_up_noise_count	NUMERIC	True	True	0.0	21	True
reclaim_given_break	corridor_down_noise_count	NUMERIC	True	True	0.0	20	True
reclaim_given_break	start_median_sigma	NUMERIC	True	True	0.0	2044	True
reclaim_given_break	node_from_median_sigma	NUMERIC	True	True	0.0	1433	True
reclaim_given_break	node_from_cog_sigma	NUMERIC	True	True	0.0	1562	True
reclaim_given_break	node_width_sigma	NUMERIC	True	True	0.0	1473	True
reclaim_given_break	feature_cog_distance_atr	NUMERIC	True	True	0.0	2067	True
reclaim_given_break	feature_cog_velocity_atr	NUMERIC	True	True	0.0	301	True
reclaim_given_break	feature_c3_distance_atr	NUMERIC	True	True	0.15629522431259044	1743	True
reclaim_given_break	feature_c3_velocity_atr	NUMERIC	True	True	0.15629522431259044	26	True
reclaim_given_break	feature_lattice_width_atr	NUMERIC	True	True	0.3979739507959479	1135	True
reclaim_given_break	feature_poc_distance_atr	NUMERIC	True	True	0.0	2065	True
reclaim_given_break	feature_vah_distance_atr	NUMERIC	True	True	0.0	2067	True
reclaim_given_break	feature_val_distance_atr	NUMERIC	True	True	0.0	2067	True
reclaim_given_break	feature_spread_atr	NUMERIC	True	True	0.0	1870	True
reclaim_given_break	feature_raw_level_count	NUMERIC	True	True	0.0	11	True
reclaim_given_break	feature_noise_level_count	NUMERIC	True	True	0.0	39	True
reclaim_given_break	feature_active_node_count	NUMERIC	True	True	0.0	13	True
reclaim_given_break	feature_population_count	NUMERIC	True	True	0.0	13	True
reclaim_given_break	feature_population_count_delta	NUMERIC	True	True	0.0	8	True
reclaim_given_break	feature_price_from_median_atr	NUMERIC	True	True	0.0	2067	True
reclaim_given_break	feature_price_from_median_sigma	NUMERIC	True	True	0.0	2044	True
reclaim_given_break	feature_price_from_cog_atr	NUMERIC	True	True	0.0	2067	True
reclaim_given_break	feature_price_from_cog_sigma	NUMERIC	True	True	0.0	2045	True
reclaim_given_break	feature_cog_median_gap_atr	NUMERIC	True	True	0.0	1934	True
reclaim_given_break	feature_cog_median_gap_sigma	NUMERIC	True	True	0.0	1337	True
reclaim_given_break	feature_regional_cog_velocity_atr	NUMERIC	True	True	0.0	301	True
reclaim_given_break	feature_regional_cog_velocity_sigma	NUMERIC	True	True	0.0	301	True
reclaim_given_break	feature_regional_median_velocity_atr	NUMERIC	True	True	0.0	399	True
reclaim_given_break	feature_regional_median_velocity_sigma	NUMERIC	True	True	0.0	396	True
reclaim_given_break	feature_regional_sigma_log_change_per_bar	NUMERIC	True	True	0.0	554	True
reclaim_given_break	contributor_count	NUMERIC	True	True	0.0	17	True
reclaim_given_break	eligibility_latency_seconds	NUMERIC	True	True	0.0	838	True
reclaim_given_break	server_hour_sin	NUMERIC	True	True	0.0	21	True
reclaim_given_break	server_hour_cos	NUMERIC	True	True	0.0	22	True
reclaim_given_break	canonical_instrument	CATEGORICAL	True	True	0.0	6	True
reclaim_given_break	start_region	CATEGORICAL	True	True	0.0	5	True
reclaim_given_break	node_region	CATEGORICAL	True	True	0.0	5	True
reclaim_given_break	contributor_families	CATEGORICAL	True	True	0.0	72	True
reclaim_given_break	contributor_producers	CATEGORICAL	True	True	0.0	7	True
initial_acceptance_given_initial_contact	ordinal	NUMERIC	True	True	0.0	105	True
initial_acceptance_given_initial_contact	direction	NUMERIC	True	True	0.0	2	True
initial_acceptance_given_initial_contact	node_width_atr	NUMERIC	True	True	0.0	4515	True
initial_acceptance_given_initial_contact	initial_distance_atr	NUMERIC	True	True	0.0	5603	True
initial_acceptance_given_initial_contact	approach_efficiency	NUMERIC	True	True	0.0	4408	True
initial_acceptance_given_initial_contact	corridor_up_atr	NUMERIC	True	True	0.039393411190517695	4440	True
