target	split_type	fold	penalty	train_rows	test_rows	train_runs	test_runs	features
reclaim_given_break	GROUPED_RUN	0	0.1	1240	307	17	3	97
reclaim_given_break	GROUPED_RUN	1	0.1	1235	312	16	4	96
reclaim_given_break	GROUPED_RUN	2	0.1	1239	308	16	4	96
reclaim_given_break	GROUPED_RUN	3	0.1	1238	309	15	5	96
reclaim_given_break	GROUPED_RUN	4	0.1	1236	311	16	4	95
reclaim_given_break	FORWARD_TIME	0	1.0	720	281	8	4	85
reclaim_given_break	FORWARD_TIME	1	1.0	1001	253	12	4	94
reclaim_given_break	FORWARD_TIME	2	0.1	1254	293	16	4	99
reclaim_given_break	INSTRUMENT_TRANSFER	0	1.0	1295	252	17	3	96
reclaim_given_break	INSTRUMENT_TRANSFER	1	0.1	1250	297	17	3	96
reclaim_given_break	INSTRUMENT_TRANSFER	2	1.0	1267	280	16	4	97
reclaim_given_break	INSTRUMENT_TRANSFER	3	0.1	1293	254	17	3	95
reclaim_given_break	INSTRUMENT_TRANSFER	4	0.1	1218	329	16	4	97
reclaim_given_break	INSTRUMENT_TRANSFER	5	1.0	1412	135	17	3	95
initial_acceptance_given_initial_contact	GROUPED_RUN	0	0.001	4035	1016	16	4	123
initial_acceptance_given_initial_contact	GROUPED_RUN	1	0.01	4054	997	16	4	124
initial_acceptance_given_initial_contact	GROUPED_RUN	2	0.1	4051	1000	16	4	120
initial_acceptance_given_initial_contact	GROUPED_RUN	3	0.01	4027	1024	16	4	125
initial_acceptance_given_initial_contact	GROUPED_RUN	4	0.01	4037	1014	16	4	123
initial_acceptance_given_initial_contact	FORWARD_TIME	0	0.1	2211	911	8	4	107
initial_acceptance_given_initial_contact	FORWARD_TIME	1	0.1	3122	937	12	4	118
initial_acceptance_given_initial_contact	FORWARD_TIME	2	0.1	4059	992	16	4	123
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	0	0.01	4255	796	17	3	124
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	1	0.01	4231	820	17	3	124
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	2	0.01	4112	939	16	4	122
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	3	0.01	4199	852	17	3	124
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	4	0.01	4023	1028	16	4	125
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	5	0.001	4435	616	17	3	125
rejection_given_initial_contact	GROUPED_RUN	0	0.001	4035	1016	16	4	123
rejection_given_initial_contact	GROUPED_RUN	1	0.001	4054	997	16	4	124
rejection_given_initial_contact	GROUPED_RUN	2	0.01	4051	1000	16	4	120
rejection_given_initial_contact	GROUPED_RUN	3	0.001	4027	1024	16	4	125
rejection_given_initial_contact	GROUPED_RUN	4	0.01	4037	1014	16	4	123
rejection_given_initial_contact	FORWARD_TIME	0	0.01	2211	911	8	4	107
rejection_given_initial_contact	FORWARD_TIME	1	0.01	3122	937	12	4	118
rejection_given_initial_contact	FORWARD_TIME	2	0.01	4059	992	16	4	123
rejection_given_initial_contact	INSTRUMENT_TRANSFER	0	0.001	4255	796	17	3	124
rejection_given_initial_contact	INSTRUMENT_TRANSFER	1	0.001	4231	820	17	3	124
rejection_given_initial_contact	INSTRUMENT_TRANSFER	2	0.001	4112	939	16	4	122
rejection_given_initial_contact	INSTRUMENT_TRANSFER	3	0.001	4199	852	17	3	124
rejection_given_initial_contact	INSTRUMENT_TRANSFER	4	0.001	4023	1028	16	4	125
rejection_given_initial_contact	INSTRUMENT_TRANSFER	5	0.001	4435	616	17	3	125
retest_hold_given_retest_contact	GROUPED_RUN	0	0.1	1002	249	16	4	93
retest_hold_given_retest_contact	GROUPED_RUN	1	0.1	1005	246	16	4	90
retest_hold_given_retest_contact	GROUPED_RUN	2	0.1	993	258	16	4	91
retest_hold_given_retest_contact	GROUPED_RUN	3	0.1	1010	241	16	4	88
retest_hold_given_retest_contact	GROUPED_RUN	4	0.1	994	257	16	4	93
retest_hold_given_retest_contact	FORWARD_TIME	0	0.1	587	247	8	4	78
retest_hold_given_retest_contact	FORWARD_TIME	1	0.01	834	173	12	4	91
retest_hold_given_retest_contact	FORWARD_TIME	2	0.1	1007	244	16	4	94
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	0	0.01	1040	211	17	3	91
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	1	0.01	1104	147	17	3	92
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	2	0.1	982	269	16	4	90
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	3	0.01	1073	178	17	3	90
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	4	0.1	932	319	16	4	90
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	5	0.01	1124	127	17	3	93
transit_given_episode_acceptance	GROUPED_RUN	0	1.0	211	52	16	3	76
transit_given_episode_acceptance	GROUPED_RUN	1	1.0	210	53	15	4	74
transit_given_episode_acceptance	GROUPED_RUN	2	1.0	210	53	15	4	76
transit_given_episode_acceptance	GROUPED_RUN	3	1.0	210	53	15	4	74
transit_given_episode_acceptance	GROUPED_RUN	4	0.1	211	52	15	4	76
transit_given_episode_acceptance	FORWARD_TIME	0	1.0	127	44	8	4	69
transit_given_episode_acceptance	FORWARD_TIME	1	1.0	171	42	12	4	72
transit_given_episode_acceptance	FORWARD_TIME	2	1.0	213	50	16	3	74
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	0	1.0	227	36	16	3	75
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	1	1.0	231	32	16	3	75
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	2	1.0	202	61	15	4	75
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	3	1.0	217	46	16	3	75
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	4	0.1	199	64	16	3	73
transit_given_episode_acceptance	INSTRUMENT_TRANSFER	5	0.1	239	24	16	3	76
