target	split_type	model	rows	positives	negatives	prevalence	log_loss	brier	auc	average_precision	ece_10
reclaim_given_break	GROUPED_RUN	BOOSTED_STUMPS	1547	880	667	0.5688429217840982	0.6564483836048556	0.232083337364275	0.6066648493934851	0.6735874710512181	0.05935715636988664
reclaim_given_break	FORWARD_TIME	BOOSTED_STUMPS	827	462	365	0.558645707376058	0.6584611275126792	0.23309433638918023	0.6293749629366068	0.6775298065364029	0.0652707331807742
reclaim_given_break	INSTRUMENT_TRANSFER	BOOSTED_STUMPS	1547	880	667	0.5688429217840982	0.6583968057913935	0.2330131664433568	0.6011278451683251	0.6704605140265282	0.04985024672398468
initial_acceptance_given_initial_contact	GROUPED_RUN	BOOSTED_STUMPS	5051	667	4384	0.13205305880023757	0.3374997639013954	0.10288076515221227	0.7717829041683538	0.2858154522310598	0.03067806396948406
initial_acceptance_given_initial_contact	FORWARD_TIME	BOOSTED_STUMPS	2840	365	2475	0.12852112676056338	0.3252712568056756	0.09922122529335932	0.7986162999861629	0.3075173915454287	0.04028900703348433
initial_acceptance_given_initial_contact	INSTRUMENT_TRANSFER	BOOSTED_STUMPS	5051	667	4384	0.13205305880023757	0.3377621144204858	0.10296013215260152	0.7724352353932522	0.28358344079075926	0.032912840134471676
rejection_given_initial_contact	GROUPED_RUN	BOOSTED_STUMPS	5051	3504	1547	0.6937240150465255	0.3775003321780318	0.11597347727731427	0.8920729250604351	0.946990239869846	0.05830454681451789
rejection_given_initial_contact	FORWARD_TIME	BOOSTED_STUMPS	2840	2013	827	0.7088028169014085	0.3556016960639648	0.1070329626505814	0.9057333499123894	0.9529148230394294	0.07144084900725929
rejection_given_initial_contact	INSTRUMENT_TRANSFER	BOOSTED_STUMPS	5051	3504	1547	0.6937240150465255	0.3783361358498841	0.11625817899701835	0.8924599608020236	0.9436592788411851	0.06183451721332191
retest_hold_given_retest_contact	GROUPED_RUN	BOOSTED_STUMPS	1251	763	488	0.609912070343725	0.42067118078201776	0.1277682073154709	0.8758822486732699	0.891178497429829	0.07130994243422892
retest_hold_given_retest_contact	FORWARD_TIME	BOOSTED_STUMPS	664	410	254	0.6174698795180723	0.406890064172368	0.12209692505598649	0.8816641060111389	0.894915520646475	0.06469232393405239
retest_hold_given_retest_contact	INSTRUMENT_TRANSFER	BOOSTED_STUMPS	1251	763	488	0.609912070343725	0.4210398405077929	0.12793209192313487	0.8738908106482177	0.880739343211533	0.06348157841627249
