event_type	runs	destinations	transitions	mean_run_jsd_bits	max_run_jsd_bits
ACCEPTANCE	20	4	689	0.01635625047248907	0.07080628956630243
APPROACH	20	5	7764	0.003669011052326348	0.012082027961111418
BREAK	20	3	2073	0.01982842042507111	0.0787179664523853
CONTACT	20	4	7004	0.007711307731808103	0.025816094043189138
DEPARTURE	20	4	4161	0.006857393968285509	0.02706241068999007
EXPIRE	20	4	198	0.05188627686318663	0.07310811868184279
HOLD	20	1	747	0.0	0.0
PENETRATION	20	7	6844	0.016370289894931778	0.06908014533075942
PROVISIONAL_ACCEPTANCE	20	4	932	0.01800733119042189	0.11088899671992636
RECLAIM	20	1	1317	0.0	0.0
REJECTION	20	1	3504	0.0	0.0
RETEST	20	4	1267	0.007608391456541651	0.027020881571774524
RETEST_FAILURE	19	1	488	0.0	0.0
RETURN_TO_SOURCE	20	6	281	0.02863523736368347	0.08981015509337473
TRANSIT	18	4	226	0.05623492230507873	0.19847395452929334
