event_type	next_event	count	source_total	probability
ACCEPTANCE	CENSOR	2	689	0.002902757619738752
ACCEPTANCE	DEPARTURE	667	689	0.9680696661828737
ACCEPTANCE	EXPIRE	2	689	0.002902757619738752
ACCEPTANCE	RECLAIM	18	689	0.026124818577648767
APPROACH	CENSOR	8	7764	0.0010303967027305513
APPROACH	CONTACT	6674	7764	0.8596084492529624
APPROACH	EXPIRE	721	7764	0.09286450283359093
APPROACH	RETURN_TO_SOURCE	272	7764	0.03503348789283874
APPROACH	TRANSIT	89	7764	0.011463163317877383
BREAK	EXPIRE	474	2073	0.22865412445730826
BREAK	PROVISIONAL_ACCEPTANCE	932	2073	0.44958996623251324
BREAK	RECLAIM	667	2073	0.3217559093101785
CONTACT	EXPIRE	3	7004	0.00042832667047401483
CONTACT	PENETRATION	5592	7004	0.7984009137635637
CONTACT	REJECTION	142	7004	0.02027412906910337
CONTACT	RETEST	1267	7004	0.18089663049685895
DEPARTURE	APPROACH	3923	4161	0.9428022110069695
DEPARTURE	EXPIRE	7	4161	0.0016822879115597211
DEPARTURE	RETURN_TO_SOURCE	14	4161	0.0033645758231194423
DEPARTURE	TRANSIT	217	4161	0.052150925258351355
EXPIRE	APPROACH	176	198	0.8888888888888888
EXPIRE	EXPIRE	5	198	0.025252525252525252
EXPIRE	RETURN_TO_SOURCE	10	198	0.050505050505050504
EXPIRE	TRANSIT	7	198	0.03535353535353535
HOLD	APPROACH	747	747	1.0
PENETRATION	BREAK	2073	6844	0.30289304500292225
PENETRATION	CENSOR	6	6844	0.0008766803039158387
PENETRATION	EXPIRE	166	6844	0.024254821741671536
PENETRATION	HOLD	748	6844	0.10929281122150789
PENETRATION	REJECTION	3362	6844	0.4912331969608416
PENETRATION	RETEST_FAILURE	483	6844	0.07057276446522502
PENETRATION	RETURN_TO_SOURCE	6	6844	0.0008766803039158387
PROVISIONAL_ACCEPTANCE	ACCEPTANCE	689	932	0.7392703862660944
PROVISIONAL_ACCEPTANCE	CENSOR	2	932	0.002145922746781116
PROVISIONAL_ACCEPTANCE	EXPIRE	46	932	0.04935622317596566
PROVISIONAL_ACCEPTANCE	RECLAIM	195	932	0.2092274678111588
RECLAIM	APPROACH	1317	1317	1.0
REJECTION	DEPARTURE	3504	3504	1.0
RETEST	EXPIRE	1	1267	0.0007892659826361484
RETEST	HOLD	14	1267	0.011049723756906077
RETEST	PENETRATION	1251	1267	0.9873717442778216
RETEST	RETURN_TO_SOURCE	1	1267	0.0007892659826361484
RETEST_FAILURE	RECLAIM	488	488	1.0
RETURN_TO_SOURCE	APPROACH	2	281	0.0071174377224199285
RETURN_TO_SOURCE	CONTACT	271	281	0.9644128113879004
RETURN_TO_SOURCE	EXPIRE	1	281	0.0035587188612099642
RETURN_TO_SOURCE	HOLD	1	281	0.0035587188612099642
RETURN_TO_SOURCE	PENETRATION	1	281	0.0035587188612099642
RETURN_TO_SOURCE	RETEST_FAILURE	5	281	0.017793594306049824
TRANSIT	APPROACH	137	226	0.6061946902654868
TRANSIT	CENSOR	2	226	0.008849557522123894
TRANSIT	CONTACT	59	226	0.2610619469026549
TRANSIT	EXPIRE	28	226	0.12389380530973451
