target	run_key	episode_id	attempt_id	canonical_instrument	holdout_id	target_censored	target_label	ordinal	direction	node_width_atr	initial_distance_atr	approach_efficiency	corridor_up_atr	corridor_down_atr	family_count	member_count	developing_count	frozen_count	node_revision	node_age_seconds	corridor_up_level_count	corridor_down_level_count	corridor_up_noise_count	corridor_down_noise_count	start_median_sigma	node_from_median_sigma	node_from_cog_sigma	node_width_sigma	feature_cog_distance_atr	feature_cog_velocity_atr	feature_c3_distance_atr	feature_c3_velocity_atr	feature_lattice_width_atr	feature_poc_distance_atr	feature_vah_distance_atr	feature_val_distance_atr	feature_spread_atr	feature_raw_level_count	feature_noise_level_count	feature_active_node_count	feature_population_count	feature_population_count_delta	feature_price_from_median_atr	feature_price_from_median_sigma	feature_price_from_cog_atr	feature_price_from_cog_sigma	feature_cog_median_gap_atr	feature_cog_median_gap_sigma	feature_regional_cog_velocity_atr	feature_regional_cog_velocity_sigma	feature_regional_median_velocity_atr	feature_regional_median_velocity_sigma	feature_regional_sigma_log_change_per_bar	contributor_count	eligibility_latency_seconds	server_hour_sin	server_hour_cos	canonical_instrument	start_region	node_region	contributor_families	contributor_producers
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	17949664952702353564	3009278579151361467	DE40	RECOVERY_A	False	1	2	1	1.0333992	0.23065211	0.02964895	13.60264343	13.41961191	3	3	2	1	7	2065	7	3	7	3	-1.38475718	-1.41670838	-1.79512643	0.04225718	43.11844502	0.0	28.38924163	0.0	55.44429687	31.13090803	36.63805112	24.00401697	0.02267647	96	41	10	10	0	-33.86423273	-1.38475718	-43.11844502	-1.76317523	9.2542123	0.37841805	0.0	0.0	0.0	0.0	0.0	3	1130	0.9659258262890683	-0.25881904510252063	DE40	BELOW	BELOW	ADAPTIVE_VALUE|PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	17949664952702353564	3122510811141512811	DE40	RECOVERY_A	False	0	3	1	1.01595592	0.309564	0.36818687	13.37303736	13.19309532	3	3	2	1	13	3600	7	3	7	3	-1.38180591	-1.4172139	-1.78465997	0.04227226	42.04087943	-0.26694182	27.82723972	0.0	54.50842384	30.52262811	35.93681327	23.51603554	0.0222937	96	40	10	10	0	-33.2098156	-1.38180591	-42.04087943	-1.74925198	8.83106383	0.36744607	-0.26694182	-0.01110305	0.0	0.0	-0.00035676	3	355	0.8660254037844387	-0.4999999999999998	DE40	BELOW	BELOW	ADAPTIVE_VALUE|PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	15426125730973102194	17884879108616033049	DE40	RECOVERY_A	False	1	1	-1	0.05808213	0.4995063	0.02837159	13.06267062	12.03026079	2	2	1	1	2	484	7	3	7	3	-1.40929907	-1.38601491	-1.67169457	0.0025587	38.47580228	0.0	27.08275251	0.0	\N	29.54057037	34.47755126	23.15153627	0.01452053	95	38	10	10	0	-31.99091015	-1.40929907	-38.47580228	-1.69497873	6.48489213	0.28567966	0.0	0.0	0.0	0.0	0.0	2	730	0.258819045102521	-0.9659258262890682	DE40	BELOW	BELOW	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	15426125730973102194	1922345802599361969	DE40	RECOVERY_A	False	1	2	-1	0.05660271	0.49555669	0.26420198	12.72994849	11.7238354	2	2	1	1	6	1711	7	3	7	3	-1.40969566	-1.38601491	-1.67169457	0.0025587	37.50455017	0.0	26.40169525	0.0	\N	28.79690949	33.60813947	22.57061188	0.01415068	95	38	10	10	0	-31.18483614	-1.40969566	-37.50455017	-1.69537533	6.31971403	0.28567966	0.0	0.0	0.0	0.0	0.0	2	93	0.258819045102521	-0.9659258262890682	DE40	BELOW	BELOW	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	5893708465104576266	860328764231177420	DE40	RECOVERY_A	False	0	3	-1	0.05132285	0.46139239	1.0	11.54250815	10.63024455	2	2	1	1	59	7517	8	4	8	4	-1.44853828	-1.42540321	-1.54114	0.00243784	32.93208444	0.0	23.41361082	0.0	44.68038697	26.12281557	30.48525751	20.47730247	0.01283071	96	41	9	9	0	-30.49552208	-1.44853828	-32.93208444	-1.56427507	2.43656236	0.11573679	0.0	0.0	0.0	0.0	0.0	2	1	-0.2588190451025208	-0.9659258262890683	DE40	BELOW	BELOW	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	9856948878648790950	5431211542003976597	DE40	RECOVERY_A	False	0	1	-1	6.33708845	0.46293207	1.0	7.64582104	11.54250815	4	8	0	8	792	46853	8	8	8	8	-0.89790407	-0.75308082	-0.86881761	0.30101191	21.33979313	0.0	11.82131951	0.0	44.68038697	14.53052426	18.8929662	8.88501116	0.01283071	96	41	9	9	0	-18.90323077	-0.89790407	-21.33979313	-1.01364086	2.43656236	0.11573679	0.0	0.0	0.0	0.0	0.0	8	307	-0.2588190451025208	-0.9659258262890683	DE40	BELOW	BELOW	MID_PIVOT|PIVOT|PIVOT_ZONE|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	12516195612704375513	16513873213659648294	DE40	RECOVERY_A	False	0	1	1	0.06619992	0.39800197	0.30771197	2.35176901	5.97705069	2	2	0	2	219	15154	3	8	3	8	-0.18346094	-0.20964701	-0.32534633	0.00402113	4.92508172	0.0	-2.51589801	0.0	34.92848402	-0.39800197	3.01229714	-4.81133022	0.01003029	96	40	9	9	0	-3.02032137	-0.18346094	-4.92508172	-0.29916025	1.90476035	0.11569932	0.0	0.0	1.94301396	0.11038456	0.05115931	2	43	-0.2588190451025208	-0.9659258262890683	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	2994333908945243039	17312801227428366076	DE40	RECOVERY_A	False	0	1	1	0.1203635	0.46339947	0.22035106	10.19980341	3.30598407	2	2	0	2	808	47520	25	7	7	4	0.02863531	0.0	-0.11569932	0.00731114	1.43333665	0.0	-6.00764308	0.0	34.92848402	-3.88974704	-0.47944793	-8.30307529	0.01003029	96	40	9	9	0	0.4714237	0.02863531	-1.43333665	-0.08706401	1.90476035	0.11569932	0.0	0.0	1.94301396	0.11038456	0.05115931	2	17	-0.2588190451025208	-0.9659258262890683	DE40	MEDIAN_CORE	MEDIAN_CORE	DAILY_EXTREME|TPO_PROFILE	DAY_SWINGS|VOLKITT
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	12516195612704375513	9396337296054235625	DE40	RECOVERY_A	False	0	3	1	0.05336438	0.00113197	1.0	0.55304905	4.81815683	2	2	0	2	223	16205	0	8	0	8	-0.22637846	-0.22866444	-0.35485903	0.00438589	4.28985589	0.0	-1.70838791	0.0	28.15617976	-0.00113197	2.74794224	-3.55875742	0.00808551	96	36	11	11	0	-2.75441065	-0.22637846	-4.28985589	-0.35257305	1.53544524	0.12619459	0.0	0.0	0.0	0.0	0.0	2	2	-0.2588190451025208	-0.9659258262890683	DE40	MEDIAN_CORE	MEDIAN_CORE	PIVOT|TPO_PROFILE	VOLKITT|WAYNE
reclaim_given_break	RG2_DE40_PERIOD_M5_1774224000_1774656000_13588138698521504632	6895133105821828173	4975747274664760382	DE40	RECOVERY_A	False	1	2	-1	1.0373444	0.2047832	0.42375691	0.42993281	1.92227638	3	4	1	3	9	2578	0	2	0	2	-0.2606251	-0.20298564	-0.59095743	0.11725853	5.73790549	0.0	0.7234554	0.0	\N	2.32781426	4.61064335	-0.62643516	0.0067142	94	30	11	11	0	-2.30565739	-0.2606251	-5.73790549	-0.64859689	3.43224811	0.38797178	0.0	0.0	0.0	0.0	0.0	4	460	-0.4999999999999997	-0.8660254037844388	DE40	MEDIAN_CORE	MEDIAN_CORE	ADAPTIVE_VALUE|MID_PIVOT|PIVOT	VOLKITT|WAYNE
