unit,dimension,value,count,total,share,censored_count,censoring_rate,entropy_bits,normalized_entropy
episode,instrument,DE40,215,1462,0.14705882352941177,4,0.018604651162790697,2.5611933903436936,0.990804852925011
episode,instrument,FRA40,221,1462,0.1511627906976744,6,0.027149321266968326,2.5611933903436936,0.990804852925011
episode,instrument,JPN225,295,1462,0.20177838577291382,4,0.013559322033898305,2.5611933903436936,0.990804852925011
episode,instrument,US30,234,1462,0.1600547195622435,5,0.021367521367521368,2.5611933903436936,0.990804852925011
episode,instrument,US500,311,1462,0.21272229822161423,6,0.01929260450160772,2.5611933903436936,0.990804852925011
episode,instrument,USTEC,186,1462,0.12722298221614228,3,0.016129032258064516,2.5611933903436936,0.990804852925011
episode,data_source,METAQUOTES_DEMO,1462,1462,1.0,28,0.019151846785225718,-0.0,0.0
episode,direction_label,FROM_ABOVE,761,1462,0.5205198358413132,10,0.013140604467805518,0.9987847258104094,0.9987847258104094
episode,direction_label,FROM_BELOW,701,1462,0.4794801641586867,18,0.025677603423680456,0.9987847258104094,0.9987847258104094
episode,initial_region,ABOVE,243,1462,0.1662106703146375,5,0.0205761316872428,1.630241427610962,0.6306634727413474
episode,initial_region,BELOW,294,1462,0.20109439124487005,6,0.02040816326530612,1.630241427610962,0.6306634727413474
episode,initial_region,EXTREME_BELOW,1,1462,0.0006839945280437756,0,0.0,1.630241427610962,0.6306634727413474
episode,initial_region,FAR_ABOVE,29,1462,0.019835841313269494,2,0.06896551724137931,1.630241427610962,0.6306634727413474
episode,initial_region,FAR_BELOW,47,1462,0.032147742818057455,3,0.06382978723404255,1.630241427610962,0.6306634727413474
episode,initial_region,MEDIAN_CORE,848,1462,0.5800273597811217,12,0.014150943396226415,1.630241427610962,0.6306634727413474
episode,sigma_band,"(-1,-0.5]",214,1462,0.146374829001368,4,0.018691588785046728,1.8494717723927798,0.6587951376797203
episode,sigma_band,"(-2,-1]",113,1462,0.07729138166894665,5,0.04424778761061947,1.8494717723927798,0.6587951376797203
episode,sigma_band,"(0.5,1]",177,1462,0.1210670314637483,4,0.022598870056497175,1.8494717723927798,0.6587951376797203
episode,sigma_band,"(1,2]",93,1462,0.06361149110807114,3,0.03225806451612903,1.8494717723927798,0.6587951376797203
episode,sigma_band,<=-2,15,1462,0.010259917920656635,0,0.0,1.8494717723927798,0.6587951376797203
episode,sigma_band,>2,2,1462,0.0013679890560875513,0,0.0,1.8494717723927798,0.6587951376797203
episode,sigma_band,CORE,848,1462,0.5800273597811217,12,0.014150943396226415,1.8494717723927798,0.6587951376797203
episode,resolution,ACCEPT_AND_FAIL_RETEST,8,1462,0.005471956224350205,4,0.5,1.6865197293611516,0.5076930268168062
episode,resolution,ACCEPT_AND_HOLD_RETEST,16,1462,0.01094391244870041,0,0.0,1.6865197293611516,0.5076930268168062
episode,resolution,ACCEPT_THROUGH_NODE,7,1462,0.0047879616963064295,0,0.0,1.6865197293611516,0.5076930268168062
episode,resolution,NODE_RETIRED,856,1462,0.585499316005472,3,0.0035046728971962616,1.6865197293611516,0.5076930268168062
episode,resolution,NONE,2,1462,0.0013679890560875513,2,1.0,1.6865197293611516,0.5076930268168062
episode,resolution,RECLAIM_AFTER_BREAK,47,1462,0.032147742818057455,0,0.0,1.6865197293611516,0.5076930268168062
episode,resolution,REJECT_TO_ORIGIN,13,1462,0.008891928864569083,10,0.7692307692307693,1.6865197293611516,0.5076930268168062
episode,resolution,RETURN_TO_SOURCE_NODE,22,1462,0.015047879616963064,0,0.0,1.6865197293611516,0.5076930268168062
episode,resolution,TIMEOUT,400,1462,0.27359781121751026,5,0.0125,1.6865197293611516,0.5076930268168062
episode,resolution,TRANSIT_TO_NEXT_NODE,91,1462,0.06224350205198358,4,0.04395604395604396,1.6865197293611516,0.5076930268168062
episode,attempts,1,576,1462,0.39398084815321477,4,0.006944444444444444,3.4347250492905976,0.6410997123928887
episode,attempts,10,24,1462,0.016415868673050615,1,0.041666666666666664,3.4347250492905976,0.6410997123928887
episode,attempts,11,28,1462,0.019151846785225718,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,12,18,1462,0.012311901504787962,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,13,24,1462,0.016415868673050615,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,14,27,1462,0.018467852257181942,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,15,14,1462,0.009575923392612859,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,16,16,1462,0.01094391244870041,1,0.0625,3.4347250492905976,0.6410997123928887
episode,attempts,17,6,1462,0.004103967168262654,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,18,8,1462,0.005471956224350205,1,0.125,3.4347250492905976,0.6410997123928887
episode,attempts,19,10,1462,0.006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,2,189,1462,0.1292749658002736,3,0.015873015873015872,3.4347250492905976,0.6410997123928887
episode,attempts,20,12,1462,0.008207934336525308,1,0.08333333333333333,3.4347250492905976,0.6410997123928887
episode,attempts,21,6,1462,0.004103967168262654,1,0.16666666666666666,3.4347250492905976,0.6410997123928887
episode,attempts,22,12,1462,0.008207934336525308,1,0.08333333333333333,3.4347250492905976,0.6410997123928887
episode,attempts,23,8,1462,0.005471956224350205,1,0.125,3.4347250492905976,0.6410997123928887
episode,attempts,24,4,1462,0.0027359781121751026,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,25,6,1462,0.004103967168262654,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,26,5,1462,0.003419972640218878,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,27,3,1462,0.002051983584131327,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,28,4,1462,0.0027359781121751026,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,29,3,1462,0.002051983584131327,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,3,129,1462,0.08823529411764706,7,0.05426356589147287,3.4347250492905976,0.6410997123928887
episode,attempts,30,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,31,2,1462,0.0013679890560875513,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,32,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,33,3,1462,0.002051983584131327,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,34,4,1462,0.0027359781121751026,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,35,3,1462,0.002051983584131327,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,36,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,37,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,38,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,39,3,1462,0.002051983584131327,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,4,89,1462,0.06087551299589603,2,0.02247191011235955,3.4347250492905976,0.6410997123928887
episode,attempts,45,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,5,66,1462,0.04514363885088919,1,0.015151515151515152,3.4347250492905976,0.6410997123928887
episode,attempts,57,1,1462,0.0006839945280437756,0,0.0,3.4347250492905976,0.6410997123928887
episode,attempts,6,49,1462,0.033515731874145006,1,0.02040816326530612,3.4347250492905976,0.6410997123928887
