unit,cross,dimension_1,value_1,dimension_2,value_2,count,censored_count,total,share,censoring_rate
episode,instrument x resolution,instrument,DE40,resolution,ACCEPT_AND_FAIL_RETEST,2,1,1462,0.0013679890560875513,0.5
episode,instrument x resolution,instrument,DE40,resolution,ACCEPT_AND_HOLD_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,DE40,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,DE40,resolution,NODE_RETIRED,132,1,1462,0.09028727770177838,0.007575757575757576
episode,instrument x resolution,instrument,DE40,resolution,RECLAIM_AFTER_BREAK,9,0,1462,0.006155950752393981,0.0
episode,instrument x resolution,instrument,DE40,resolution,REJECT_TO_ORIGIN,2,2,1462,0.0013679890560875513,1.0
episode,instrument x resolution,instrument,DE40,resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,instrument x resolution,instrument,DE40,resolution,TIMEOUT,55,0,1462,0.03761969904240766,0.0
episode,instrument x resolution,instrument,DE40,resolution,TRANSIT_TO_NEXT_NODE,11,0,1462,0.007523939808481532,0.0
episode,instrument x resolution,instrument,FRA40,resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
episode,instrument x resolution,instrument,FRA40,resolution,ACCEPT_AND_HOLD_RETEST,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,FRA40,resolution,NODE_RETIRED,147,1,1462,0.10054719562243503,0.006802721088435374
episode,instrument x resolution,instrument,FRA40,resolution,RECLAIM_AFTER_BREAK,9,0,1462,0.006155950752393981,0.0
episode,instrument x resolution,instrument,FRA40,resolution,REJECT_TO_ORIGIN,1,1,1462,0.0006839945280437756,1.0
episode,instrument x resolution,instrument,FRA40,resolution,RETURN_TO_SOURCE_NODE,2,0,1462,0.0013679890560875513,0.0
episode,instrument x resolution,instrument,FRA40,resolution,TIMEOUT,51,1,1462,0.03488372093023256,0.0196078431372549
episode,instrument x resolution,instrument,FRA40,resolution,TRANSIT_TO_NEXT_NODE,9,2,1462,0.006155950752393981,0.2222222222222222
episode,instrument x resolution,instrument,JPN225,resolution,ACCEPT_AND_FAIL_RETEST,2,0,1462,0.0013679890560875513,0.0
episode,instrument x resolution,instrument,JPN225,resolution,ACCEPT_AND_HOLD_RETEST,8,0,1462,0.005471956224350205,0.0
episode,instrument x resolution,instrument,JPN225,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,JPN225,resolution,NODE_RETIRED,156,0,1462,0.106703146374829,0.0
episode,instrument x resolution,instrument,JPN225,resolution,RECLAIM_AFTER_BREAK,8,0,1462,0.005471956224350205,0.0
episode,instrument x resolution,instrument,JPN225,resolution,REJECT_TO_ORIGIN,2,1,1462,0.0013679890560875513,0.5
episode,instrument x resolution,instrument,JPN225,resolution,RETURN_TO_SOURCE_NODE,9,0,1462,0.006155950752393981,0.0
episode,instrument x resolution,instrument,JPN225,resolution,TIMEOUT,81,3,1462,0.05540355677154583,0.037037037037037035
episode,instrument x resolution,instrument,JPN225,resolution,TRANSIT_TO_NEXT_NODE,28,0,1462,0.019151846785225718,0.0
episode,instrument x resolution,instrument,US30,resolution,ACCEPT_AND_FAIL_RETEST,2,1,1462,0.0013679890560875513,0.5
episode,instrument x resolution,instrument,US30,resolution,ACCEPT_AND_HOLD_RETEST,4,0,1462,0.0027359781121751026,0.0
episode,instrument x resolution,instrument,US30,resolution,ACCEPT_THROUGH_NODE,1,0,1462,0.0006839945280437756,0.0
episode,instrument x resolution,instrument,US30,resolution,NODE_RETIRED,130,0,1462,0.08891928864569083,0.0
episode,instrument x resolution,instrument,US30,resolution,RECLAIM_AFTER_BREAK,7,0,1462,0.0047879616963064295,0.0
episode,instrument x resolution,instrument,US30,resolution,REJECT_TO_ORIGIN,4,2,1462,0.0027359781121751026,0.5
episode,instrument x resolution,instrument,US30,resolution,RETURN_TO_SOURCE_NODE,6,0,1462,0.004103967168262654,0.0
episode,instrument x resolution,instrument,US30,resolution,TIMEOUT,67,1,1462,0.04582763337893297,0.014925373134328358
episode,instrument x resolution,instrument,US30,resolution,TRANSIT_TO_NEXT_NODE,13,1,1462,0.008891928864569083,0.07692307692307693
episode,instrument x resolution,instrument,US500,resolution,ACCEPT_AND_FAIL_RETEST,1,1,1462,0.0006839945280437756,1.0
episode,instrument x resolution,instrument,US500,resolution,ACCEPT_AND_HOLD_RETEST,2,0,1462,0.0013679890560875513,0.0
episode,instrument x resolution,instrument,US500,resolution,ACCEPT_THROUGH_NODE,3,0,1462,0.002051983584131327,0.0
episode,instrument x resolution,instrument,US500,resolution,NODE_RETIRED,177,0,1462,0.1210670314637483,0.0
episode,instrument x resolution,instrument,US500,resolution,NONE,1,1,1462,0.0006839945280437756,1.0
episode,instrument x resolution,instrument,US500,resolution,RECLAIM_AFTER_BREAK,10,0,1462,0.006839945280437756,0.0
episode,instrument x resolution,instrument,US500,resolution,REJECT_TO_ORIGIN,4,4,1462,0.0027359781121751026,1.0
