run_key,instrument,episode_id,attempt_id,transit_id,source_node_id,destination_node_id,direction,start,end,start_bar,end_bar,duration_bars,duration_seconds,distance_atr,path_efficiency,max_adverse_atr,resolution,threshold_exact,episode_end,episode_completion,episode_resolution,is_episode_terminal_transit
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957,DE40,813609517859287673,12897891158107349242,3610711170127621703,5161268510389571878,17766904743982608359,-1,1765880700,1765895400,377,426,49,14700,8.35748617,0.00019955,2.4143178,TIMEOUT,True,1765895400,RESOLVED,TIMEOUT,True
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957,DE40,7144877854609087323,17917145417583687531,9649534014161810916,5161268510389571878,17766904743982608359,-1,1765958108,1765972800,611,660,49,14692,8.67230576,0.00700757,0.1481203,TIMEOUT,True,1765972800,RESOLVED,TIMEOUT,True
RG2_DE40_PERIOD_M5_1765756800_1766181300_3308521111094945957,DE40,15110253490392429820,10935277722455812489,10592966018140562769,5161268510389571878,14345052701061380962,-1,1766086500,1766108400,1015,1064,49,21900,0.53863113,0.00361229,1.36987674,TIMEOUT,True,1766108400,RESOLVED,TIMEOUT,True
RG2_FRA40_PERIOD_M5_1764547200_1764978900_5546118285371728057,FRA40,12920124911582794228,10159904192819217725,13809825966471920671,5780672337985856126,18224042200755022040,-1,1764607827,1764622500,191,240,49,14673,5.42197168,0.01540373,0.12548626,TIMEOUT,True,1764622500,RESOLVED,TIMEOUT,True
RG2_FRA40_PERIOD_M5_1764547200_1764978900_5546118285371728057,FRA40,18320788265135771518,3847162336661908637,2655433163784934137,17699766941181831346,12768941632967763518,-1,1764798606,1764816900,803,852,49,18294,2.5248561,0.00455828,0.45133438,TIMEOUT,True,1764816900,RESOLVED,TIMEOUT,True
RG2_FRA40_PERIOD_M5_1777248000_1777589700_9554760657515700142,FRA40,13781989011322159048,7660180574270619949,11973993596259329195,8334458797244461180,15467977393747452932,1,1777302900,1777317600,172,221,49,14700,22.38603743,0.01348109,0.10334137,TIMEOUT,True,1777317600,RESOLVED,TIMEOUT,True
RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951,JPN225,9637124433095805672,9452118893696860848,11922398744284528948,13061788376971806162,12507419035412600140,1,1764557400,1764572100,23,72,49,14700,13.13556387,0.01243888,1.22194514,TIMEOUT,True,1764572100,RESOLVED,TIMEOUT,True
RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951,JPN225,18314930369867037831,16998835659026382801,652505227564880665,11620303352537308203,13061788376971806162,-1,1764607800,1764622500,191,240,49,14700,13.32590801,0.01297029,0.02545825,TIMEOUT,True,1764622500,RESOLVED,TIMEOUT,True
RG2_JPN225_PERIOD_M5_1764547200_1764978900_13582613236484951,JPN225,10638312980785874688,14908994285600896579,16577636705575200189,15873440775831695338,14337253924703638668,-1,1764706200,1764724500,507,556,49,18300,5.6646408,0.00997625,0.65451145,TIMEOUT,True,1764724500,RESOLVED,TIMEOUT,True
RG2_JPN225_PERIOD_M5_1766966400_1767398100_17845446579741474672,JPN225,6817325949268815338,3403811681335874627,16892186897147875928,10730053094931616028,12832306756944452619,1,1766991901,1767006600,74,123,49,14699,1.10226847,0.01221692,0.35995501,TIMEOUT,True,1767006600,RESOLVED,TIMEOUT,True
RG2_US30_PERIOD_M5_1777248000_1777676100_6859180431116322748,US30,8117140141690051652,463661467765251269,905902535013885605,5550008204238765759,10770559771748976258,-1,1777569000,1777583700,1023,1072,49,14700,0.21382939,0.04972339,0.45997745,TIMEOUT,True,1777583700,RESOLVED,TIMEOUT,True
RG2_US500_PERIOD_M5_1780272000_1780700100_8888579981882631925,US500,10602429007464324955,9558265910329136958,14756024373023959768,15540567871878041727,3624244445178944246,1,1780504800,1780519500,741,790,49,14700,0.81292517,0.02317515,0.0,TIMEOUT,True,1780519500,RESOLVED,TIMEOUT,True
