k	reconstructed_ranges	contributing_sessions	reconstruction_not_evaluable	q10	q25	q50	q75	q90	mean	unit	derivation
1	154	154	0	30.00000000000000000	38.50000000000000000	52.75000000000000000	70.00000000000000000	91.50000000000001421	56.46396103896086771	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
2	154	154	0	39.40000000000145519	53.50000000000000000	72.00000000000000000	91.69999999999708962	128.25000000000000000	76.43051948051918032	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
3	154	154	0	48.00000000000000000	60.75000000000000000	82.09999999999854481	109.24999999999998579	144.50000000000000000	89.41623376623357444	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
4	154	154	0	52.50000000000000000	69.00000000000000000	94.00000000000000000	126.24999999999998579	162.25000000000000000	99.11396103896082366	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
5	154	154	0	55.75000000000000000	72.20000000000436557	99.25000000000000000	128.75000000000000000	171.69999999999708962	106.06883116883086871	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
6	154	154	0	59.75000000000000000	78.00000000000000000	105.19999999999708962	133.75000000000000000	179.75000000000000000	110.98668831168802740	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
7	154	154	0	64.00000000000000000	79.25000000000000000	108.75000000000000000	143.75000000000000000	185.00000000000000000	115.94155844155812929	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
8	154	154	0	66.75000000000000000	80.75000000000000000	109.50000000000000000	146.00000000000000000	189.25000000000000000	120.25259740259716068	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
9	154	154	0	68.75000000000000000	84.50000000000000000	111.50000000000000000	148.00000000000000000	192.00000000000000000	123.53019480519446915	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
10	154	154	0	68.75000000000000000	85.50000000000000000	112.25000000000000000	151.50000000000000000	194.50000000000000000	125.50876623376588270	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
11	154	154	0	72.20000000000436557	88.50000000000000000	115.75000000000000000	162.09999999999854481	198.00000000000000000	129.80746753246714320	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
12	154	154	0	72.20000000000435136	92.99999999999998579	115.75000000000000000	162.19999999999708962	209.75000000000000000	133.13766233766202163	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
13	154	154	0	72.20000000000436557	95.50000000000000000	116.75000000000000000	170.29999999999563443	210.00000000000000000	136.05389610389593713	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
14	154	154	0	75.50000000000000000	98.00000000000001421	123.79999999999563443	171.00000000000000000	224.00000000000000000	139.81785714285697964	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
15	154	154	0	77.50000000000000000	99.25000000000000000	128.75000000000000000	172.75000000000000000	226.25000000000000000	141.95746753246734784	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
16	154	154	0	78.59999999999854481	102.30000000000291038	132.75000000000000000	176.75000000000000000	229.00000000000000000	146.18798701298675269	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
17	154	154	0	80.70000000000436557	104.50000000000000000	136.50000000000000000	182.50000000000000000	237.59999999999854481	150.41298701298677543	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
18	154	154	0	81.50000000000000000	105.19999999999708962	142.75000000000000000	187.00000000000000000	240.00000000000000000	153.91688311688292856	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
19	154	154	0	81.50000000000000000	108.75000000000000000	144.50000000000000000	192.25000000000000000	241.00000000000000000	156.42370129870110418	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
20	154	154	0	81.50000000000000000	109.00000000000000000	146.00000000000000000	193.25000000000000000	243.50000000000000000	158.47142857142844719	SOURCE_PRICE_UNIT	2 * RAW_RANGE_RELATIVE_VALUE / RANGE_Z_SIBLING_VALUE; exact sibling pairs only
