outcome	representation	k	horizon_minutes	index	outcome_state	censor_reason	anchor_rows	sessions
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	1	0	OBSERVED_COMPLETE	NONE	5125	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	1	0	SESSION_TERMINATED	SESSION_TERMINATION	12	12
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	2	0	OBSERVED_COMPLETE	NONE	2320	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	2	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	2803	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	2	0	SESSION_TERMINATED	SESSION_TERMINATION	13	13
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	2	0	SOURCE_PATH_INCOMPLETE	SOURCE_PATH_GAP	1	1
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	5	0	OBSERVED_COMPLETE	NONE	1410	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	5	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	3707	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	5	0	SESSION_TERMINATED	SESSION_TERMINATION	18	18
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	5	0	SOURCE_PATH_INCOMPLETE	SOURCE_PATH_GAP	2	2
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	10	0	OBSERVED_COMPLETE	NONE	997	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	10	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	4110	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	10	0	SESSION_TERMINATED	SESSION_TERMINATION	25	25
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	10	0	SOURCE_PATH_INCOMPLETE	SOURCE_PATH_GAP	5	5
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	15	0	OBSERVED_COMPLETE	NONE	817	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	15	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	4286	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	15	0	SESSION_TERMINATED	SESSION_TERMINATION	29	29
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	15	0	SOURCE_PATH_INCOMPLETE	SOURCE_PATH_GAP	5	5
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	30	0	OBSERVED_COMPLETE	NONE	595	154
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	30	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	4499	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	30	0	SESSION_TERMINATED	SESSION_TERMINATION	36	36
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	30	0	SOURCE_PATH_INCOMPLETE	SOURCE_PATH_GAP	7	7
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	60	0	OBSERVED_COMPLETE	NONE	424	151
CANDIDATE_TERMINAL_ORIENTED_DISPLACEMENT_RAW	RAW_PRICE	0	60	0	RIGHT_CENSORED	CANDIDATE_SUPERSESSION	4642	151
