session_id	candidate_anchors	upper_anchors	lower_anchors	complete_path_candidate_anchors	range_objects	anchor_weight_per_candidate	session_weight_per_candidate	anchor_weight_per_range_object_at_fixed_k	session_weight_per_range_object_at_fixed_k
OBSOPEN_US30_20240102	35	34	1	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240111	23	1	22	23	30	0.00019466614755693986	0.00028232636928289106	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240118	49	43	6	49	30	0.00019466614755693986	0.000132520540683806	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240122	23	20	3	23	30	0.00019466614755693986	0.00028232636928289106	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240123	29	2	27	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240124	29	4	25	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240130	53	48	5	53	30	0.00019466614755693986	0.00012251899044351877	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240131	36	8	28	36	30	0.00019466614755693986	0.00018037518037518038	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240201	39	35	4	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240205	24	1	23	24	30	0.00019466614755693986	0.00027056277056277056	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240206	15	12	3	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240207	19	12	7	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240226	22	9	13	22	30	0.00019466614755693986	0.000295159386068477	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240227	21	2	19	21	30	0.00019466614755693986	0.00030921459492888067	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240228	30	28	2	30	30	0.00019466614755693986	0.00021645021645021648	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240229	19	4	15	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240307	24	6	18	24	30	0.00019466614755693986	0.00027056277056277056	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240312	25	18	7	25	30	0.00019466614755693986	0.00025974025974025974	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240318	17	9	8	17	30	0.00019466614755693986	0.00038197097020626437	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240321	33	32	1	33	30	0.00019466614755693986	0.00019677292404565134	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240326	23	13	10	23	30	0.00019466614755693986	0.00028232636928289106	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240327	45	31	14	45	30	0.00019466614755693986	0.0001443001443001443	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240328	26	5	21	26	30	0.00019466614755693986	0.00024975024975024975	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240401	34	1	33	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240403	13	9	4	13	30	0.00019466614755693986	0.0004995004995004995	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240408	15	5	10	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240410	19	8	11	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240411	29	4	25	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240415	54	4	50	0	30	0.00019466614755693986	0.00012025012025012025	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240416	22	2	20	22	30	0.00019466614755693986	0.000295159386068477	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240417	34	11	23	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240422	40	27	13	40	30	0.00019466614755693986	0.00016233766233766234	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240423	31	25	6	31	30	0.00019466614755693986	0.0002094679514034353	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240429	10	4	6	10	30	0.00019466614755693986	0.0006493506493506494	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240501	39	34	5	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
