anchor_date	timeframe	copied	error_code	first_server_time	last_server_time
2025.01.15	M1	-1	4401		
2025.01.15	M5	-1	4401		
2025.03.07	M1	-1	4401		
2025.03.07	M5	-1	4401		
2025.03.14	M1	-1	4401		
2025.03.14	M5	-1	4401		
2025.04.04	M1	-1	4401		
2025.04.04	M5	-1	4401		
2025.10.24	M1	-1	4401		
2025.10.24	M5	-1	4401		
2025.10.31	M1	-1	4401		
2025.10.31	M5	-1	4401		
2025.11.07	M1	-1	4401		
2025.11.07	M5	-1	4401		
2026.01.14	M1	-1	4401		
2026.01.14	M5	-1	4401		
2026.03.06	M1	-1	4401		
2026.03.06	M5	-1	4401		
2026.03.13	M1	-1	4401		
2026.03.13	M5	-1	4401		
2026.04.03	M1	-1	4401		
2026.04.03	M5	-1	4401		
2026.08.13	M1	1379	0	2026.08.13 01:00:00	2026.08.13 23:59:00
2026.08.13	M5	276	0	2026.08.13 01:00:00	2026.08.13 23:55:00
