range_k	sessions	median_width	mean_width	first_outside_above	first_outside_below	no_outside_observed	mean_location_balance	mean_signed_displacement	terminal_in_zone	terminal_above	terminal_below	return_event_count	cross_through_count	median_first_outside_lag_minutes	adjacent_terminal_survival	adjacent_width_unchanged_fraction	adjacent_mean_width_delta
1	257	49.200000000000003	54.040077821011671	120	132	5	0.032240133407448586	23.88463035019452	27	123	107	836	64	4	0.95719844357976658	0.20622568093385213	19.969649805447471
2	257	67.099999999999994	74.009727626459139	122	130	5	0.048158067613320532	23.88463035019452	38	120	99	817	38	3	0.95719844357976658	0.35019455252918286	13.156420233463034
3	257	80.5	87.166147859922177	121	131	5	0.04942139572489767	23.88463035019452	49	115	93	822	29	7	0.97665369649805445	0.49027237354085601	8.3319066147859928
4	257	90.200000000000003	95.498054474708169	118	134	5	0.044772348274293799	23.88463035019452	55	113	89	799	26	6	0.99610894941634243	0.55252918287937747	6.5614785992217897
5	257	95.5	102.05953307392996	119	132	6	0.040780231441710044	23.88463035019452	56	113	88	815	24	5	0.99610894941634243	0.62256809338521402	5.0589494163424122
6	257	99	107.11848249027237	118	133	6	0.043671922998156872	27.625680933852038	57	113	87	791	22	9	0.98832684824902728	0.68482490272373542	4.6568093385214011
7	257	103	111.77529182879377	119	132	6	0.048228548023755889	27.625680933852038	60	112	85	795	20	8	1	0.68871595330739299	4.5904669260700386
8	257	107.25	116.36575875486382	119	132	6	0.051454024165472047	27.625680933852038	60	112	85	806	19	7	0.98832684824902728	0.71595330739299612	3.6005836575875487
9	257	109.25	119.96634241245137	118	133	6	0.05176121236944501	27.625680933852038	63	111	83	815	18	6	1	0.79377431906614782	3.3346303501945527
10	257	111.25	123.30097276264591	118	133	6	0.050993241859512595	27.625680933852038	63	111	83	814	18	5	0.99221789883268485	0.72373540856031127	3.9385214007782099
11	257	111.5	127.23949416342413	120	131	6	0.052295719844357977	31.584241245136191	65	111	81	790	18	9	0.99610894941634243	0.75097276264591439	3.3365758754863815
12	257	115.25	130.5760700389105	120	131	6	0.05146562905317769	31.584241245136191	66	111	80	786	17	8	0.99610894941634243	0.78599221789883267	2.9007782101167314
13	257	115.5	133.47684824902723	116	135	6	0.052658884565499352	31.584241245136191	67	110	80	775	16	7	0.98832684824902728	0.74319066147859925	3.4891050583657588
14	257	118.7	136.96595330739299	118	133	6	0.05405966277561608	31.584241245136191	70	108	79	778	16	6	0.99610894941634243	0.78599221789883267	2.5478599221789882
15	257	120.75	139.51381322957198	118	132	7	0.054215304798962388	31.584241245136191	71	107	79	763	13	10	0.98832684824902728	0.74319066147859925	3.4093385214007781
16	257	127	142.92315175097275	119	131	7	0.057419286991271426	28.785214007782113	74	105	78	749	12	9	0.98832684824902728	0.71595330739299612	3.345330739299611
17	257	128.75	146.26848249027236	123	127	7	0.057208959932695341	28.785214007782113	77	104	76	746	12	13	0.98832684824902728	0.72762645914396884	3.4124513618677041
18	257	134.25	149.68093385214007	124	126	7	0.05920706698916816	28.785214007782113	80	103	74	745	12	12	0.98832684824902728	0.76264591439688711	3.0428015564202333
19	257	136.5	152.72373540856032	124	126	7	0.06083710169313282	28.785214007782113	83	101	73	746	12	11	1	0.78988326848249024	2.1060311284046693
20	257	139.5	154.82976653696497	124	126	7	0.061152592280996954	28.785214007782113	83	101	73	754	12	10	0.99610894941634243	0.80544747081712065	3.1196498054474708
21	257	144.40000000000001	157.94941634241246	123	126	8	0.061084163957145138	28.488132295719719	84	100	73	735	12	14	1	0.81712062256809337	1.9916342412451362
22	257	146.75	159.94105058365759	122	127	8	0.061883694898992592	28.488132295719719	84	100	73	716	12	13	1	0.79377431906614782	2.3688715953307393
23	257	148	162.30992217898833	123	125	9	0.062310111401311229	28.488132295719719	84	100	73	713	11	12	0.99221789883268485	0.75875486381322954	3.1231517509727627
24	257	150.5	165.4330739299611	122	125	10	0.060124726826928203	28.488132295719719	86	98	73	703	6	11	1	0.78210116731517509	2.3392996108949418
25	257	151.75	167.77237354085602	126	121	10	0.060018122701348542	28.488132295719719	86	98	73	694	6	15	0.99610894941634243	0.8132295719844358	1.707976653696498
26	257	155.40000000000001	169.48035019455253	128	117	12	0.061284046692607008	27.932879377431934	87	98	72	685	6	14	0.99221789883268485	0.81712062256809337	3.03136186770428
27	257	157.75	172.51171206225681	129	116	12	0.060041072200605276	27.932879377431934	89	97	71	688	6	13	0.99610894941634243	0.80933852140077822	2.4217898832684823
28	257	162.75	174.93350194552528	130	115	12	0.062527021184608733	27.932879377431934	90	97	70	691	6	17	0.99610894941634243	0.8443579766536965	1.2622568093385214
29	257	162.75	176.19575875486382	130	115	12	0.062635105923043666	27.932879377431934	91	96	70	690	6	16	0.98832684824902728	0.8443579766536965	1.405408560311284
30	257	164.69999999999999	177.6011673151751	129	116	12	0.063715953307392992	27.932879377431934	94	95	68	690	6	15			
