estimand_id	source_kind	template_id	range_k	adjacent_to_k	geometry_class	value_authority	observer_constraint	observer_alias_group	original_terminal_class	original_reason	original_temporal_status	original_decision_changed
WIDTH_DELTA_ADJACENT_K01_TO_K02	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	1	2	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K02_TO_K03	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	2	3	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K03_TO_K04	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	3	4	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K04_TO_K05	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	4	5	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K05_TO_K06	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	5	6	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K06_TO_K07	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	6	7	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K07_TO_K08	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	7	8	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K08_TO_K09	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	8	9	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K09_TO_K10	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	9	10	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K10_TO_K11	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	10	11	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
