session_id	civil_date	partition	server_offset_minutes	confirmation_status
OBSOPEN_US30_20240102	2024-01-02	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240103	2024-01-03	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240104	2024-01-04	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240108	2024-01-08	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240109	2024-01-09	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240110	2024-01-10	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240111	2024-01-11	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240116	2024-01-16	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240117	2024-01-17	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240118	2024-01-18	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240122	2024-01-22	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240123	2024-01-23	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240124	2024-01-24	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240125	2024-01-25	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240129	2024-01-29	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240130	2024-01-30	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240131	2024-01-31	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240201	2024-02-01	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240205	2024-02-05	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240206	2024-02-06	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240207	2024-02-07	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240208	2024-02-08	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240213	2024-02-13	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240214	2024-02-14	DISCOVERY	120	NOT_APPLICABLE
OBSOPEN_US30_20240215	2024-02-15	DISCOVERY	120	NOT_APPLICABLE
