session_id	civil_date	reason
OBSOPEN_US30_20240105	2024-01-05	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240106	2024-01-06	NON_SESSION_WEEKEND
OBSOPEN_US30_20240107	2024-01-07	NON_SESSION_WEEKEND
OBSOPEN_US30_20240112	2024-01-12	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240113	2024-01-13	NON_SESSION_WEEKEND
OBSOPEN_US30_20240114	2024-01-14	NON_SESSION_WEEKEND
OBSOPEN_US30_20240115	2024-01-15	EXCHANGE_CLOSED
OBSOPEN_US30_20240119	2024-01-19	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240120	2024-01-20	NON_SESSION_WEEKEND
OBSOPEN_US30_20240121	2024-01-21	NON_SESSION_WEEKEND
OBSOPEN_US30_20240126	2024-01-26	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240127	2024-01-27	NON_SESSION_WEEKEND
OBSOPEN_US30_20240128	2024-01-28	NON_SESSION_WEEKEND
OBSOPEN_US30_20240202	2024-02-02	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240203	2024-02-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20240204	2024-02-04	NON_SESSION_WEEKEND
OBSOPEN_US30_20240209	2024-02-09	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240210	2024-02-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20240211	2024-02-11	NON_SESSION_WEEKEND
OBSOPEN_US30_20240212	2024-02-12	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240216	2024-02-16	NOT_EVALUABLE_SOURCE_COVERAGE_M1
OBSOPEN_US30_20240217	2024-02-17	NON_SESSION_WEEKEND
OBSOPEN_US30_20240218	2024-02-18	NON_SESSION_WEEKEND
OBSOPEN_US30_20240219	2024-02-19	EXCHANGE_CLOSED
OBSOPEN_US30_20240223	2024-02-23	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240224	2024-02-24	NON_SESSION_WEEKEND
OBSOPEN_US30_20240225	2024-02-25	NON_SESSION_WEEKEND
OBSOPEN_US30_20240301	2024-03-01	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240302	2024-03-02	NON_SESSION_WEEKEND
OBSOPEN_US30_20240303	2024-03-03	NON_SESSION_WEEKEND
OBSOPEN_US30_20240308	2024-03-08	NOT_EVALUABLE_SOURCE_COVERAGE_M5
OBSOPEN_US30_20240309	2024-03-09	NON_SESSION_WEEKEND
OBSOPEN_US30_20240310	2024-03-10	NON_SESSION_WEEKEND
OBSOPEN_US30_20240316	2024-03-16	NON_SESSION_WEEKEND
OBSOPEN_US30_20240317	2024-03-17	NON_SESSION_WEEKEND
OBSOPEN_US30_20240323	2024-03-23	NON_SESSION_WEEKEND
OBSOPEN_US30_20240324	2024-03-24	NON_SESSION_WEEKEND
OBSOPEN_US30_20240329	2024-03-29	EXCHANGE_CLOSED
OBSOPEN_US30_20240330	2024-03-30	NON_SESSION_WEEKEND
OBSOPEN_US30_20240331	2024-03-31	NON_SESSION_WEEKEND
