session_id	civil_date	calendar_status	clock_status	server_offset_minutes	source_day_m1_rows	source_day_m5_rows	expected_m1_range	observed_m1_range	missing_m1_range	duplicate_m1_range	expected_m5_horizon	observed_m5_horizon	missing_m5_horizon	duplicate_m5_horizon	decision	partition
OBSOPEN_US30_20240102	2024-01-02	NORMAL_SESSION	QUALIFIED	120	1375	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240103	2024-01-03	NORMAL_SESSION	QUALIFIED	120	1376	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240104	2024-01-04	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240105	2024-01-05	NORMAL_SESSION	QUALIFIED	120	1288	259	30	30	0	0	79	73	6	0	NOT_EVALUABLE_SOURCE_COVERAGE_M5	
OBSOPEN_US30_20240106	2024-01-06	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240107	2024-01-07	NON_SESSION_WEEKEND	NOT_APPLICABLE		0	0	0	0	0	0	0	0	0	0	NON_SESSION_WEEKEND	
OBSOPEN_US30_20240108	2024-01-08	NORMAL_SESSION	QUALIFIED	120	1379	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240109	2024-01-09	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240110	2024-01-10	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
OBSOPEN_US30_20240111	2024-01-11	NORMAL_SESSION	QUALIFIED	120	1380	276	30	30	0	0	79	79	0	0	ADMITTED	DISCOVERY
