P2_root	P2T_root	classification	primary_checkpoint	session_id	civil_date	offset	selected_ordinal	parent_gap	calendar_gap	raw_difference	raw_cumulative	z_difference	z_cumulative
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240103	2024-01-03	120	1	NOT_APPLICABLE	NOT_APPLICABLE	0.09156045223443510	0.09156045223443510	0.10672166846194076	0.10672166846194076
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240104	2024-01-04	120	2	1	1	0.03815154370179100	0.12971199593622609	0.09944023377115550	0.20616190223309627
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240108	2024-01-08	120	3	1	4	-0.06278766370721242	0.06692433222901367	-0.07324472507304547	0.13291717716005080
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240109	2024-01-09	120	4	1	1	0.08574713429838279	0.15267146652739647	0.10683066186094550	0.23974783902099631
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240110	2024-01-10	120	5	1	1	0.02162458578185764	0.17429605230925410	0.04592070829409564	0.28566854731509195
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240116	2024-01-16	120	6	2	6	-0.11704020986973990	0.05725584243951420	-0.12194238074671632	0.16372616656837563
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240117	2024-01-17	120	7	1	1	0.04567834646023261	0.10293418889974681	0.10067118274669860	0.26439734931507425
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240125	2024-01-25	120	8	5	8	-0.03067363349626051	0.07226055540348630	-0.09638160535841267	0.16801574395666158
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240129	2024-01-29	120	9	1	4	-0.00129738865886042	0.07096316674462588	-0.08912844179249080	0.07888730216417078
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240208	2024-02-08	120	10	7	10	0.09408080283770745	0.16504396958233333	0.12795786297643436	0.20684516514060514
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240213	2024-02-13	120	11	1	5	0.13828003693983987	0.30332400652217317	0.13841528716086310	0.34526045230146823
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240214	2024-02-14	120	12	1	1	0.01533514132140540	0.31865914784357857	0.00014310755918190	0.34540355986065013
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240215	2024-02-15	120	13	1	1	0.08484989075869177	0.40350903860227033	0.11752785564793748	0.46293141550858763
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240220	2024-02-20	120	14	1	5	0.03521487395125392	0.43872391255352428	0.07224882490842843	0.53518024041701606
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240221	2024-02-21	120	15	1	1	-0.01476478397630954	0.42395912857721474	-0.01890474414012214	0.51627549627689395
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240222	2024-02-22	120	16	1	1	-0.07327395157715608	0.35068517700005863	-0.03763343433990304	0.47864206193699088
af0b7f804a8d8337572d6a4a6f2ddcb426defb1f4d5f28ed0fde54882050d00c	a2b3facd10cee4f0909891958654ec1a86b2615c602c30a726ea3c4bf4706c18	POST_GATE_DESCRIPTIVE_DIAGNOSTICS_ONLY	d4e80a53e3101066acd22a4d81525f24dd0a9d02a04a6c5dc9864a0695dc26f1	OBSOPEN_US30_20240304	2024-03-04	120	17	5	11	0.04253855873449233	0.39322373573455094	0.07908864872501466	0.55773071066200552
