claim	state	source_kind
PARENT_ROOT_AND_CLOSURE	PASS	MACHINE_DERIVED
CURRENT_NULL_EXPLICIT	FAIL	MACHINE_DERIVED
TRANSFORMATION_GROUP_IDENTIFIED	PASS	MACHINE_DERIVED
SIGN_GENERATOR_EXECUTABLE	FAIL	MACHINE_DERIVED
DEPENDENCE_AUTHORITY_ESTABLISHED	FAIL	MACHINE_DERIVED
EXACTNESS_BASIS_ACCURATELY_BOUNDED	FAIL	MACHINE_DERIVED
GENERIC_MEAN_NULL_LICENSED	FAIL	MACHINE_DERIVED
UNIT_DISTINCTIONS_RECORDED	PASS	MACHINE_DERIVED
MATERIALITY_INFERENCE_SEPARATION	PASS	MACHINE_DERIVED
SYNTHETIC_SEMANTIC_FIXTURES	PASS	MACHINE_DERIVED
D_B_FIREWALL	PASS	MACHINE_DERIVED
D_C_FIREWALL	PASS	MACHINE_DERIVED
CURRENT_FORMAL_PROCEDURE_EXECUTABLE	FAIL	MACHINE_DERIVED
REPLACEMENT_SELECTED	NOT_EVALUABLE	MACHINE_DERIVED
