claim	state	source_kind
PARENT_03BP_BINDING	PASS	MACHINE_DERIVED
PREOPEN_AUDIT_BINDING	PASS	MACHINE_DERIVED
AVERAGE_COMPETENCE_PARAMETER	PASS	MACHINE_DERIVED
MATERIALITY_INFERENCE_SEPARATION	PASS	MACHINE_DERIVED
FIXED_MODEL_PSEUDO_DB_BLOCKS	PASS	MACHINE_DERIVED
MODEL_STATE_BOUNDARY_EXCLUSION	PASS	MACHINE_DERIVED
DEPENDENCE_TRANSPORT_AUDIT	PASS	MACHINE_DERIVED
CANDIDATE_METHOD_AUTHORITY_MATRIX	PASS	MACHINE_DERIVED
ONE_PROCEDURE_SELECTED_OR_NOT_EVALUABLE	PASS	MACHINE_DERIVED
STATIONARITY_EXPLICIT	PASS	MACHINE_DERIVED
ASYMPTOTIC_NOT_EXACT	PASS	MACHINE_DERIVED
SUPPORT_GATES_PRESERVED	PASS	MACHINE_DERIVED
FORECAST_STATE_SEMANTICS	PASS	MACHINE_DERIVED
PERMANENT_REFLECTION_FIXTURES	PASS	MACHINE_DERIVED
D_B_FIREWALL	PASS	MACHINE_DERIVED
D_C_FIREWALL	PASS	MACHINE_DERIVED
