claim	state	source_kind

PARENT_AUTHORITY_BINDING	PASS	MACHINE_DERIVED
TARGET_REGISTRY_BINDING	PASS	MACHINE_DERIVED
TARGET_KNOWLEDGE_TIME	PASS	MACHINE_DERIVED
D_A_D_B_D_C_FIREWALL	PASS	MACHINE_DERIVED
RANGE_DESIGN_CONTEXT_FREEZE	PASS	MACHINE_DERIVED
RAW_REPRESENTATION_FIELD_LINEAGE	PASS	MACHINE_DERIVED
Z_REPRESENTATION_FIELD_LINEAGE	PASS	MACHINE_DERIVED
REPRESENTATION_RELATION_AUDIT	PASS	MACHINE_DERIVED
HISTORY_EXCLUSION	PASS	MACHINE_DERIVED
FUTURE_INFORMATION_EXCLUSION	PASS	MACHINE_DERIVED
SESSION_WEIGHTING	PASS	MACHINE_DERIVED
COMPLETE_SESSION_FORMAL_ELIGIBILITY	PASS	MACHINE_DERIVED
D_A_ONLY_TRANSFORM_FIT	PASS	MACHINE_DERIVED
D_A_ONLY_HYPERPARAMETER_SELECTION	PASS	MACHINE_DERIVED
PROBE_PARITY	PASS	MACHINE_DERIVED
BRIER_SCORE_IMPLEMENTATION	PASS	MACHINE_DERIVED
EFFECT_SIZE_FLOOR	PASS	MACHINE_DERIVED
SESSION_LEVEL_RESAMPLING	PASS	MACHINE_DERIVED
MULTIPLICITY	PASS	MACHINE_DERIVED
MONTE_CARLO_RESOLUTION	PASS	MACHINE_DERIVED
FAILURE_PRECEDENCE	PASS	MACHINE_DERIVED
D_B_DERIVED_OUTCOME_FIREWALL	PASS	MACHINE_DERIVED
D_C_FIREWALL	PASS	MACHINE_DERIVED
DETERMINISTIC_REBUILD_POLICY	PASS	MACHINE_DERIVED
