session_index	session_id	civil_date	offset_minutes	chronological_role
0	OBSOPEN_US30_20240102	2024-01-02	120	INITIAL_TRAIN
1	OBSOPEN_US30_20240111	2024-01-11	120	INITIAL_TRAIN
2	OBSOPEN_US30_20240118	2024-01-18	120	INITIAL_TRAIN
3	OBSOPEN_US30_20240122	2024-01-22	120	INITIAL_TRAIN
4	OBSOPEN_US30_20240123	2024-01-23	120	INITIAL_TRAIN
5	OBSOPEN_US30_20240124	2024-01-24	120	INITIAL_TRAIN
6	OBSOPEN_US30_20240130	2024-01-30	120	INITIAL_TRAIN
7	OBSOPEN_US30_20240131	2024-01-31	120	INITIAL_TRAIN
8	OBSOPEN_US30_20240201	2024-02-01	120	INITIAL_TRAIN
9	OBSOPEN_US30_20240205	2024-02-05	120	INITIAL_TRAIN
10	OBSOPEN_US30_20240206	2024-02-06	120	INITIAL_TRAIN
11	OBSOPEN_US30_20240207	2024-02-07	120	INITIAL_TRAIN
12	OBSOPEN_US30_20240226	2024-02-26	120	INITIAL_TRAIN
13	OBSOPEN_US30_20240227	2024-02-27	120	INITIAL_TRAIN
14	OBSOPEN_US30_20240228	2024-02-28	120	INITIAL_TRAIN
15	OBSOPEN_US30_20240229	2024-02-29	120	INITIAL_TRAIN
16	OBSOPEN_US30_20240307	2024-03-07	120	INITIAL_TRAIN
17	OBSOPEN_US30_20240312	2024-03-12	120	INITIAL_TRAIN
18	OBSOPEN_US30_20240318	2024-03-18	120	INITIAL_TRAIN
19	OBSOPEN_US30_20240321	2024-03-21	120	INITIAL_TRAIN
20	OBSOPEN_US30_20240326	2024-03-26	120	INITIAL_TRAIN
21	OBSOPEN_US30_20240327	2024-03-27	120	INITIAL_TRAIN
22	OBSOPEN_US30_20240328	2024-03-28	120	INITIAL_TRAIN
23	OBSOPEN_US30_20240401	2024-04-01	180	INITIAL_TRAIN
24	OBSOPEN_US30_20240403	2024-04-03	180	INITIAL_TRAIN
25	OBSOPEN_US30_20240408	2024-04-08	180	INITIAL_TRAIN
26	OBSOPEN_US30_20240410	2024-04-10	180	INITIAL_TRAIN
27	OBSOPEN_US30_20240411	2024-04-11	180	INITIAL_TRAIN
28	OBSOPEN_US30_20240415	2024-04-15	180	INITIAL_TRAIN
29	OBSOPEN_US30_20240416	2024-04-16	180	INITIAL_TRAIN
30	OBSOPEN_US30_20240417	2024-04-17	180	VALIDATION_FOLD_1
31	OBSOPEN_US30_20240422	2024-04-22	180	VALIDATION_FOLD_1
32	OBSOPEN_US30_20240423	2024-04-23	180	VALIDATION_FOLD_1
33	OBSOPEN_US30_20240429	2024-04-29	180	VALIDATION_FOLD_1
34	OBSOPEN_US30_20240501	2024-05-01	180	VALIDATION_FOLD_1
35	OBSOPEN_US30_20240502	2024-05-02	180	VALIDATION_FOLD_1
36	OBSOPEN_US30_20240508	2024-05-08	180	VALIDATION_FOLD_1
37	OBSOPEN_US30_20240509	2024-05-09	180	VALIDATION_FOLD_1
38	OBSOPEN_US30_20240513	2024-05-13	180	VALIDATION_FOLD_1
39	OBSOPEN_US30_20240516	2024-05-16	180	VALIDATION_FOLD_1
40	OBSOPEN_US30_20240521	2024-05-21	180	VALIDATION_FOLD_1
41	OBSOPEN_US30_20240522	2024-05-22	180	VALIDATION_FOLD_1
42	OBSOPEN_US30_20240523	2024-05-23	180	VALIDATION_FOLD_1
43	OBSOPEN_US30_20240530	2024-05-30	180	VALIDATION_FOLD_1
44	OBSOPEN_US30_20240606	2024-06-06	180	VALIDATION_FOLD_1
45	OBSOPEN_US30_20240610	2024-06-10	180	VALIDATION_FOLD_1
46	OBSOPEN_US30_20240611	2024-06-11	180	VALIDATION_FOLD_1
47	OBSOPEN_US30_20240612	2024-06-12	180	VALIDATION_FOLD_1
48	OBSOPEN_US30_20240613	2024-06-13	180	VALIDATION_FOLD_1
