"node_id"	"branch"	"stage"	"authority_role"	"evidence_count"	"evidence_paths"	"evidence_sha256"
"RG2_PHASE10"	"RG2"	"PHASE_10_CORPUS_SEAL"	"EMPIRICAL_CORPUS_AND_PARITY_FOUNDATION"	"1"	"research/auction-parity/proof/rg2_corpus_parity.json"	"32f7c2edb36f9be02bac56bccca2d5a7d155ff287b6cabea798bd7c4fd5f8cd0"
"RG2_PHASE10_5"	"RG2"	"PHASE_10_5_INTERFACE"	"CAUSAL_RESEARCH_INTERFACE"	"1"	"research/auction-parity/proof/phase10_5_interface_parity.json"	"a3640d13bf3a261285ad440e04fcf53f70ea73f5312d0e63201523025f4660ef"
"RG2_PHASE11"	"RG2"	"PHASE_11_BEHAVIORAL_MODELS"	"FROZEN_MODEL_AND_INFERENCE_EVIDENCE"	"2"	"research/auction-parity/artifacts/phase12-freeze/frozen_model_registry.json|research/auction-parity/proof/model_inference_parity.json"	"79f43b7a5076b5103113c17a1fd6aba879d32e4986332f99a1abe29b023abdec|499b0a13d077917ce6b5823883ab959e5a473be2ec880e8c8affe38a956c34c1"
"RG2_GATE13R"	"RG2"	"GATE_13R_HOLDOUT"	"BEHAVIORAL_HOLDOUT_CERTIFICATE"	"1"	"research/auction-parity/artifacts/phase13r-evaluation/certificate_manifest.json"	"7393ec2eebc7416bcf407689d10c424a03a1a91331d327e2d61f562d13fbc20c"
"RG3_GATE14"	"RG3"	"GATE_14_OBJECT_INSTRUMENTS"	"DETERMINISTIC_MARKET_OBJECT_BUILD"	"1"	"research/market-objects/artifacts/gate14-build-proof.json"	"d140abe5f604714b1163468ac05ec463face32c3aea5c27662931bb99ac08961"
"RG3_GATE15"	"RG3"	"GATE_15_DISCOVERY"	"EXPLORATORY_FAMILY_SYSTEM_SEAL"	"1"	"research/market-objects/artifacts/rg3-gate15-seal-final-v4/gate15-seal-receipt.json"	"04b653860ce8e6e86de9e69d986a6a25fd8f0ced4acbd95d0d647d412118fce4"
"RG3_GATE15_5"	"RG3"	"GATE_15_5_ATLAS"	"MULTIVIEW_ATLAS_SEAL"	"1"	"research/market-objects/artifacts/rg3-gate15-5-atlas-final-v5/gate15_5_receipt.json"	"5ad73c9cc117e31e3f4726381264cba41fda8e714389fbdb4a43b0212c604648"
"RG3_GATE16"	"RG3"	"GATE_16_GEOMETRY"	"REPRESENTATION_AND_DISTANCE_SEAL"	"1"	"research/market-objects/artifacts/rg3-gate16-seal-final-v1/gate16-seal-receipt.json"	"8a20debf6b8075026c3fdb1d5eb3f391cdbda3026df63cfd7a1407bef15d30f9"
"RG3_GATE16_5"	"RG3"	"GATE_16_5_LOSS_CENSUS"	"REPRESENTATION_LOSS_SEAL"	"1"	"research/market-objects/artifacts/rg3-gate16-5-seal-final-v1/gate16_5-seal-receipt.json"	"aac266a506d9e0dd4779ba876f50636321272c954f72222ca1a5c7fd3164d908"
"OSV1_ROOT"	"OSV1"	"GATE_16_6_CLOSURE"	"TWO_BRANCH_CLOSURE_ROOT"	"0"	""	""
