node_key	node_type	local_label	authority
family_system::COMPRESSION::hybrid_mirrored_v1::5eb5a2741a3c0de08701438efe24f1326da1bc298f2f1bdee875a56d69315599	TRAJECTORY_FAMILY_SYSTEM	hybrid_mirrored_v1	GATE15_EXPLORATORY
family_system::COMPRESSION::resampled_shape_v1::97373352c79af3746b7718cd3cc03c3880ee3f1f124aba1f415e4970f807f17b	TRAJECTORY_FAMILY_SYSTEM	resampled_shape_v1	GATE15_EXPLORATORY
family_system::COMPRESSION::summary_geometry_v1::297001a37593a9f07f114956e146320e18f378912d6e483f8c6ea92499bc2c5e	TRAJECTORY_FAMILY_SYSTEM	summary_geometry_v1	GATE15_EXPLORATORY
family_system::EXPANSION::hybrid_mirrored_v1::aec22711ee5d4716189e7ee5fdb6f66806372f7673db38195f12c52920b27f37	TRAJECTORY_FAMILY_SYSTEM	hybrid_mirrored_v1	GATE15_EXPLORATORY
family_system::EXPANSION::resampled_shape_v1::58b56f65841117821e44b18d673cfbb724cd5634db5b5747ed1942b1ec4531e1	TRAJECTORY_FAMILY_SYSTEM	resampled_shape_v1	GATE15_EXPLORATORY
family_system::EXPANSION::summary_geometry_v1::ab7a0b1ee23b4f15713a65550bc59230eb702d8e1e3842b025330ae51207cd92	TRAJECTORY_FAMILY_SYSTEM	summary_geometry_v1	GATE15_EXPLORATORY
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::12128392872197435418	MASTER_STRUCTURAL_NODE	12128392872197435418	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::14215821689605427739	MASTER_STRUCTURAL_NODE	14215821689605427739	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::14494379663181597839	MASTER_STRUCTURAL_NODE	14494379663181597839	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::14806725996553758399	MASTER_STRUCTURAL_NODE	14806725996553758399	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::16168432911485728543	MASTER_STRUCTURAL_NODE	16168432911485728543	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::17556861992861028631	MASTER_STRUCTURAL_NODE	17556861992861028631	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::17855478307201560756	MASTER_STRUCTURAL_NODE	17855478307201560756	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::2918753149407468177	MASTER_STRUCTURAL_NODE	2918753149407468177	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::3356706696111656494	MASTER_STRUCTURAL_NODE	3356706696111656494	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::7704789245420592470	MASTER_STRUCTURAL_NODE	7704789245420592470	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::8246127937730236071	MASTER_STRUCTURAL_NODE	8246127937730236071	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::845670151318318766	MASTER_STRUCTURAL_NODE	845670151318318766	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::9228714803939796822	MASTER_STRUCTURAL_NODE	9228714803939796822	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::11280015016919022378	MASTER_STRUCTURAL_NODE	11280015016919022378	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::12369224683561055247	MASTER_STRUCTURAL_NODE	12369224683561055247	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::13222477179886420363	MASTER_STRUCTURAL_NODE	13222477179886420363	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::13691900653204788515	MASTER_STRUCTURAL_NODE	13691900653204788515	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::1386751916309169008	MASTER_STRUCTURAL_NODE	1386751916309169008	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::1409763914622041117	MASTER_STRUCTURAL_NODE	1409763914622041117	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::14784705847374300139	MASTER_STRUCTURAL_NODE	14784705847374300139	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::4469957413505004284	MASTER_STRUCTURAL_NODE	4469957413505004284	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::5939505893029492334	MASTER_STRUCTURAL_NODE	5939505893029492334	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::6097552514976955855	MASTER_STRUCTURAL_NODE	6097552514976955855	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::972119576566971171	MASTER_STRUCTURAL_NODE	972119576566971171	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::14359002094355081454	MASTER_STRUCTURAL_NODE	14359002094355081454	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::15179616288016946794	MASTER_STRUCTURAL_NODE	15179616288016946794	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::15399776071941257088	MASTER_STRUCTURAL_NODE	15399776071941257088	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::16375816397398145758	MASTER_STRUCTURAL_NODE	16375816397398145758	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::2564354723396493257	MASTER_STRUCTURAL_NODE	2564354723396493257	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::4919080828161233789	MASTER_STRUCTURAL_NODE	4919080828161233789	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::5219390387221146182	MASTER_STRUCTURAL_NODE	5219390387221146182	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::5369886286966084848	MASTER_STRUCTURAL_NODE	5369886286966084848	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::6649425000390495488	MASTER_STRUCTURAL_NODE	6649425000390495488	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::6828440817258816702	MASTER_STRUCTURAL_NODE	6828440817258816702	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::7236014618462400799	MASTER_STRUCTURAL_NODE	7236014618462400799	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::7536985402759150480	MASTER_STRUCTURAL_NODE	7536985402759150480	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::7610424227244022731	MASTER_STRUCTURAL_NODE	7610424227244022731	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::7705211584469004488	MASTER_STRUCTURAL_NODE	7705211584469004488	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::8564976495342343699	MASTER_STRUCTURAL_NODE	8564976495342343699	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1774224000_1774828800_16769896615923389005::9608962083897360662	MASTER_STRUCTURAL_NODE	9608962083897360662	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::10534121773886704171	MASTER_STRUCTURAL_NODE	10534121773886704171	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::113821651035925699	MASTER_STRUCTURAL_NODE	113821651035925699	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::12476359974051587099	MASTER_STRUCTURAL_NODE	12476359974051587099	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::12660400511467223456	MASTER_STRUCTURAL_NODE	12660400511467223456	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::1423843302239589821	MASTER_STRUCTURAL_NODE	1423843302239589821	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::14620333672000071531	MASTER_STRUCTURAL_NODE	14620333672000071531	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::18122346233907610684	MASTER_STRUCTURAL_NODE	18122346233907610684	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::2873116824610762838	MASTER_STRUCTURAL_NODE	2873116824610762838	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::4523301884411412183	MASTER_STRUCTURAL_NODE	4523301884411412183	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::5750197913946217488	MASTER_STRUCTURAL_NODE	5750197913946217488	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1777852800_1778457600_14397091333611658795::6608582456073397661	MASTER_STRUCTURAL_NODE	6608582456073397661	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::10308652716916179101	MASTER_STRUCTURAL_NODE	10308652716916179101	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::1125538906439829181	MASTER_STRUCTURAL_NODE	1125538906439829181	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::11362690389364789758	MASTER_STRUCTURAL_NODE	11362690389364789758	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::12387197236748310572	MASTER_STRUCTURAL_NODE	12387197236748310572	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::13952344127874068349	MASTER_STRUCTURAL_NODE	13952344127874068349	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::14285116901434308381	MASTER_STRUCTURAL_NODE	14285116901434308381	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::14351174075032609870	MASTER_STRUCTURAL_NODE	14351174075032609870	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::14604860618409198044	MASTER_STRUCTURAL_NODE	14604860618409198044	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::15616941507219488724	MASTER_STRUCTURAL_NODE	15616941507219488724	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::16021788016628454037	MASTER_STRUCTURAL_NODE	16021788016628454037	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::16043757833724063137	MASTER_STRUCTURAL_NODE	16043757833724063137	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::2114032084716942317	MASTER_STRUCTURAL_NODE	2114032084716942317	RG3_MASTER_POINT_STATE
master_node::RG3_DE40_PERIOD_M5_1781481600_1782086400_6195331328867226598::2323262310054644641	MASTER_STRUCTURAL_NODE	2323262310054644641	RG3_MASTER_POINT_STATE
