lineage_id	run_key	canonical_instrument	origin_compression_id	expansion_id	destination_compression_id	origin_compression_summary_family_id	origin_compression_shape_family_id	origin_compression_hybrid_family_id	expansion_summary_family_id	expansion_shape_family_id	expansion_hybrid_family_id	destination_compression_summary_family_id	destination_compression_shape_family_id	destination_compression_hybrid_family_id	origin_structural_stratum	terminal_structural_stratum	structural_node_contacts	destination_availability_code
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::1	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	1	1	2	C1	C2	C1	C1	C1	C2	C2	C1	C1	REGION_1|NODE_CONTACT	REGION_1|NODE_CONTACT	5	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::2	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	2	2	3	C2	C1	C1	C3	C1	C3	C1	C1	C1	REGION_1|NODE_CONTACT	REGION_1|OPEN_CORRIDOR	13	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::3	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	3	3	4	C1	C1	C1	C1	C1	C2	C2	C1	C1	REGION_1|OPEN_CORRIDOR	REGION_1|NODE_CONTACT	5	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::4	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	4	4	5	C2	C1	C1	C3	C1	C2	C1	C1	C1	REGION_1|OPEN_CORRIDOR	REGION_1|OPEN_CORRIDOR	13	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::5	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	5	5	6	C1	C1	C1	C3	C2	C1	C1	C2	C1	REGION_1|NODE_CONTACT	REGION_1|OPEN_CORRIDOR	49	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::6	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	6	6	7	C1	C2	C1	C3	C1	C2	C1	C2	C1	REGION_1|NODE_CONTACT	REGION_1|NODE_CONTACT	38	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::7	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	7	7	8	C1	C2	C1	C1	C1	C2	C1	C1	C1	REGION_1|NODE_CONTACT	REGION_1|NODE_CONTACT	3	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::8	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	8	8	\N	C1	C1	C1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	CENSORED_DESTINATION	CENSORED_DESTINATION	CENSORED_DESTINATION	REGION_0|OPEN_CORRIDOR	NULL_STRUCTURAL_CONTEXT	51	CENSORED_DESTINATION
lineage::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::1	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	1	1	2	C1	C1	C1	C3	C1	C2	C1	C1	C1	REGION_2|NODE_CONTACT	REGION_1|NODE_CONTACT	4	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::2	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	2	2	3	C1	C1	C1	C1	C2	C1	C1	C2	C2	REGION_1|NODE_CONTACT	REGION_1|NODE_CONTACT	6	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::3	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	3	3	4	C1	C2	C2	C1	C1	C2	C2	C1	C1	REGION_0|NODE_CONTACT	REGION_0|NODE_CONTACT	4	AVAILABLE
lineage::RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043::4	RG3_DE40_PERIOD_M5_1771200000_1771804800_7817652877554072043	DE40	4	4	5	C2	C1	C1	C3	C1	C3	C1	C2	C1	REGION_1|NODE_CONTACT	REGION_2|NODE_CONTACT	18	AVAILABLE
