receipt_id	object_kind	run_key	canonical_instrument	object_id	object_event_type	object_event_time	master_snapshot_time	snapshot_age_seconds	join_mode	max_gap_seconds	availability_code	master_generation	master_snapshot_hash	regional_basis_hash	reference_price	reference_atr	median_price	mean_price	structural_sigma	cog_price	price_region_code	nearest_node_id	nearest_node_lower	nearest_node_price	nearest_node_upper	nearest_node_region_code	node_contact
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1::START	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	1	START	1767990300	\N	\N	UNAVAILABLE	300	NULL_STRUCTURAL_CONTEXT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1::CONFIRM	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	1	CONFIRM	1768179900	1768179900	0	EXACT	300	AVAILABLE	2	15079227791769662379	15210855903025236888	25272.4	14.542000000000499	24822.12083333333	24688.08741835011	487.0063232948216	24757.306976978893	1	2918753149407468177	25236.85	25263.626041666663	25281.8	1	1
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1::TERMINAL	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	1	TERMINAL	1768186800	1768186800	0	EXACT	300	AVAILABLE	25	2715110189079375499	9455899052036107412	25226	13.373000000000555	24837.766666666663	24715.986720891007	488.5371463077698	24767.219476504684	1	3356706696111656494	25216.066666666666	25216.283333333333	25224.5	1	1
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2::START	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	2	START	1768189200	1768189200	0	EXACT	300	AVAILABLE	33	14173099629695888290	17246046218790139987	25231	13.108000000000557	24837.766666666663	24715.806387061835	488.34945461340936	24768.103363453054	1	2918753149407468177	25236.85	25264.69083333333	25281.8	1	0
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2::CONFIRM	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	2	CONFIRM	1768194900	1768194900	0	EXACT	300	AVAILABLE	52	14668430640933776637	12560498509744544823	25242	9.493000000000555	24886.416666666668	24776.106287950923	479.86404792157145	24770.929855344253	1	2918753149407468177	25236.85	25261.59083333333	25281.8	1	1
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2::TERMINAL	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	2	TERMINAL	1768216800	1768216800	0	EXACT	300	AVAILABLE	125	5483749634846159311	8427531859645472005	25273.3	11.029000000000508	24837.766666666663	24681.734792499927	500.1209060344996	24784.579433342096	1	17556861992861028631	25236.85	25255.138541666664	25279.033333333333	1	1
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3::START	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	3	START	1768244100	1768244100	0	EXACT	300	AVAILABLE	216	1836316855961899753	16972878706808061937	25420.1	15.220000000000487	24853.21458333333	24692.512077963696	488.10533422977426	24821.57670785974	1	14494379663181597839	25360.9	25374	25393.766666666666	1	0
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3::CONFIRM	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	3	CONFIRM	1768249800	1768249800	0	EXACT	300	AVAILABLE	235	11444841291038557719	10326833854473918357	25406.6	13.477000000000496	24853.21458333333	24692.580905753173	488.1852255232545	24825.39911122793	1	14494379663181597839	25360.9	25375	25393.766666666666	1	0
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3::TERMINAL	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	3	TERMINAL	1768267200	1768267200	0	EXACT	300	AVAILABLE	269	5484408014820128847	4698120057384220209	25436	11.1270000000005	24877.53958333333	24772.923415802386	524.987308315624	24840.257868099845	1	8246127937730236071	25444.599999999995	25444.6	25444.6	1	0
bridge::RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4::START	COMPRESSION	RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912	DE40	4	START	1768272600	1768272600	0	EXACT	300	AVAILABLE	287	235933753971349763	1441966956466536686	25427.1	9.754000000000472	24980.53571428571	24868.253842131962	532.8222744254506	24845.68443486907	1	9228714803939796822	25439.2	25442.1	25442.2	1	0
