run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	1	1771023300	1771205400	1771224000	1	CLOSED_UP	1	4	63	8310.6027752520858485	8297.1772247479057114	8303.8899999999957800	8315.7999999999992725	8297.1772247479057114	8306.4886123739524920
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	2	1771248000	1771253700	1771257000	1	CLOSED_UP	1	1	12	8347.3064002990213339	8334.9035997009814310	8341.1050000000013824	8356.0000000000000000	8334.9035997009814310	8345.4517998504907155
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	3	1771267200	1771272900	1771301400	2	CLOSED_DOWN	-1	5	72	8333.0325767466692923	8320.9474232533339092	8326.9900000000016008	8336.2999999999992724	8296.2999999999992724	8316.2999999999992724
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	4	1771306200	1771311900	1771323600	1	CLOSED_UP	1	5	40	8295.0494868331879843	8284.0505131668105605	8289.5499999999992725	8338.2000000000007276	8274.7999999999992725	8306.5000000000000000
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	5	1771361100	1771366800	1771380900	2	CLOSED_DOWN	-1	1	36	8391.0792466872953810	8379.0607533127040369	8385.0699999999997090	8391.0792466872953810	8368.2000000000007276	8379.6396233436480543
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	6	1771381500	1771387200	1771398000	1	CLOSED_UP	1	2	37	8382.0299027603705326	8370.6200972396309226	8376.3250000000007276	8391.2000000000007276	8366.2000000000007276	8378.7000000000007276
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	7	1771398600	1771404300	1771406700	2	CLOSED_DOWN	-1	1	9	8394.4992400683913730	8383.8007599316115375	8389.1500000000014552	8394.4992400683913730	8376.0000000000000000	8385.2496200341956865
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	8	1771439700	1771445400	1771449000	2	CLOSED_DOWN	-1	2	13	8443.6795882526766946	8432.5904117473201041	8438.1349999999983993	8443.6795882526766946	8422.6000000000003638	8433.1397941263385292
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	9	1771463700	1771469400	1771475700	1	CLOSED_UP	1	4	22	8426.2548620247016516	8415.5451379753012589	8420.9000000000014552	8431.7000000000007276	8415.5451379753012589	8423.6225689876519028
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	10	1771539000	1771544700	1771556100	1	CLOSED_UP	1	5	27	8412.6749394941743959	8401.7750605058263318	8407.2250000000003638	8419.8999999999996363	8401.7750605058263318	8410.8375302529129840
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	11	1771560300	1771566000	1771573800	1	CLOSED_UP	1	2	27	8419.3635405882068881	8409.0364594117872912	8414.1999999999970896	8423.8999999999996363	8409.0364594117872912	8416.4682297058934637
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	12	1771574400	1771580100	1771584900	1	CLOSED_UP	1	3	17	8428.0376704429636447	8418.0923295570300979	8423.0649999999968713	8461.7999999999992725	8412.2000000000007276	8437.0000000000000000
RG3_FRA40_PERIOD_M5_1771200000_1771804800_1968818525264721670	13	1771624800	1771630500	1771804800	6	TEST_END_CENSORED	0	0	5	8538.4608618374204526	8526.9291381625789654	8532.6949999999997090	8538.4608618374204526	8526.9291381625789654	8532.6949999999997090
