run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	4	1	1	\N	1771215300	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	6	1	1	2	1771221600	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	11	2	2	\N	1771235700	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	13	2	2	3	1771244400	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	26	3	3	\N	1771255800	2	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	28	3	3	4	1771296000	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	33	4	4	\N	1771300200	2	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	35	4	4	5	1771311300	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	46	5	5	\N	1771323600	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	48	5	5	6	1771376400	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	51	6	6	\N	1771380000	2	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	53	6	6	7	1771386300	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	58	7	7	\N	1771391100	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	60	7	7	8	1771401600	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	63	8	8	\N	1771410600	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	65	8	8	9	1771417800	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	70	9	9	\N	1771422900	2	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	72	9	9	10	1771475400	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	77	10	10	\N	1771490400	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	79	10	10	11	1771496700	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	82	11	11	\N	1771499400	2	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	84	11	11	12	1771509900	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	87	12	12	\N	1771512600	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	89	12	12	13	1771550400	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	98	13	13	\N	1771556100	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	100	13	13	14	1771562400	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	103	14	14	\N	1771573800	1	1	0
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	105	14	14	15	1771580100	3	2	4
RG3_US500_PERIOD_M5_1771200000_1771804800_16907777243792436315	118	15	15	\N	1771591800	2	1	0
