run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	1	1	1771209900	1	0	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	2	1	1771213800	2	1	3	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	3	1	1771214700	4	1	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	4	1	1771233000	2	1	3	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	5	1	1771233300	4	1	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	6	1	1771234200	2	1	3	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	7	1	1771236000	6	1	5	1
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	9	2	1771244100	1	0	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	11	2	1771246800	3	-1	4	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	12	2	1771248600	7	-1	5	2
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	14	3	1771254900	1	0	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	16	3	1771257600	3	-1	4	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	17	3	1771259400	7	-1	5	2
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	19	4	1771297500	1	0	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	21	4	1771298700	3	-1	4	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	22	4	1771300500	7	-1	5	2
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	24	5	1771311600	1	0	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	26	5	1771312500	3	-1	4	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	27	5	1771312800	5	-1	2	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	28	5	1771313400	3	-1	4	0
RG3_USTEC_PERIOD_M5_1771200000_1771804800_8488883873716319363	29	5	1771314000	5	-1	2	0
