run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	1	1774352400	1774358100	1774364400	2	CLOSED_DOWN	-1	2	22	52857.2367569486959838	52618.3632430513098371	52737.8000000000029104	52857.2367569486959838	52366.0000000000000000	52611.6183784743479919
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	2	1774371600	1774377300	1774380600	2	CLOSED_DOWN	-1	1	12	52883.5028602406237042	52640.2971397593792063	52761.9000000000014552	52883.5028602406237042	52446.0000000000000000	52664.7514301203118521
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	3	1774392000	1774401300	1774405800	1	CLOSED_UP	1	1	16	53482.3687437596017844	53242.2312562404040364	53362.3000000000029104	53955.0000000000000000	53242.2312562404040364	53598.6156281201983803
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	4	1774411500	1774417200	1774419900	1	CLOSED_UP	1	1	10	53613.5445592392206891	53375.9554407607793110	53494.7500000000000000	53847.0000000000000000	53375.9554407607793110	53611.4777203803896555
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	5	1774420500	1774426200	1774434600	1	CLOSED_UP	1	1	29	53882.1230235974289826	53650.5769764025681071	53766.3499999999985448	54345.0000000000000000	53587.0000000000000000	53966.0000000000000000
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	6	1774438200	1774443900	1774461900	2	CLOSED_DOWN	-1	10	61	53970.1379946057786583	53743.1620053942242521	53856.6500000000014552	54137.0000000000000000	53387.0000000000000000	53762.0000000000000000
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	7	1774463100	1774468800	1774485300	2	CLOSED_DOWN	-1	1	44	54011.1821856501701404	53785.6178143498327700	53898.4000000000014552	54011.1821856501701404	53639.0000000000000000	53825.0910928250814322
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	8	1774491000	1774496700	1774499700	2	CLOSED_DOWN	-1	1	11	54127.3330676217010478	53913.5669323782931315	54020.4499999999970896	54127.3330676217010478	53337.0000000000000000	53732.1665338108505239
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	9	1774513500	1774519200	1774524600	2	CLOSED_DOWN	-1	3	19	53529.9431461590356776	53322.6568538409701433	53426.3000000000029104	53549.0000000000000000	53059.0000000000000000	53304.0000000000000000
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	10	1774554300	1774560000	1774562400	2	CLOSED_DOWN	-1	1	9	52697.6985233844970936	52498.2014766154970857	52597.9499999999970896	52697.6985233844970936	52307.0000000000000000	52502.3492616922449088
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	11	1774563900	1774573200	1774577700	1	CLOSED_UP	1	2	16	52770.0034449315571692	52571.9965550684428308	52671.0000000000000000	53101.0000000000000000	52571.9965550684428308	52836.4982775342214155
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	12	1774614900	1774620600	1774628400	2	CLOSED_DOWN	-1	2	27	52194.7584535981222871	52004.3415464018835337	52099.5500000000029104	52201.0000000000000000	51841.0000000000000000	52021.0000000000000000
RG3_JPN225_PERIOD_M5_1774224000_1774828800_828979282129269557	13	1774639500	1774645200	1774650600	2	CLOSED_DOWN	-1	3	19	51762.2364663219923387	51575.3635336780134822	51668.8000000000029104	51762.2364663219923387	51438.0000000000000000	51600.1182331609961693
