run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	1	1	1777956600	1	0	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	2	1	1777967100	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	3	1	1777967700	4	1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	4	1	1777969800	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	5	1	1777971600	6	1	5	1
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	7	2	1777985700	1	0	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	9	2	1777987800	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	10	2	1777988100	4	1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	11	2	1777989600	3	-1	4	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	12	2	1777989900	5	-1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	13	2	1777990200	3	-1	4	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	14	2	1777991400	5	-1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	15	2	1777992900	3	-1	4	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	16	2	1777993500	5	-1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	17	2	1777994700	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	18	2	1777995300	4	1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	19	2	1777997400	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	20	2	1777998000	4	1	2	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	21	2	1777998300	2	1	3	0
RG3_FRA40_PERIOD_M5_1777852800_1778457600_3950759615288727177	22	2	1777998600	4	1	2	0
