run_key	expansion_id	origin_compression_id	destination_compression_id	origin_time	terminal_time	terminal_reason_code	terminal_reason	direction	sample_count	origin_seed_frontier	origin_containment_frontier	origin_terminal_price	origin_mid	origin_atr	terminal_price	max_displacement	opposite_displacement	return_depth	close_path_length
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	1	1	2	1777867800	1777878900	4	HANDOFF_TO_COMPRESSION	1	38	27741.7654452149217832	27780.7000000000007276	27766.7000000000007276	27719.4450000000069849	22.3688208592566618	27826.0000000000000000	59.2999999999992724	8.2999999999992724	0.0000000000000000	241.6999999999934517
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	2	2	3	1777888200	1777899300	4	HANDOFF_TO_COMPRESSION	-1	38	27792.3877713063520787	27755.2999999999992724	27779.5000000000000000	27814.0900000000074215	21.1494847025851947	27773.0000000000000000	19.7000000000007276	43.9000000000014552	13.2000000000007276	276.7000000000116416
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	3	3	4	1777901400	1777937400	4	HANDOFF_TO_COMPRESSION	-1	121	27766.4131629973198870	27545.5000000000000000	27704.4000000000014552	27787.1249999999927241	21.6280703752020927	27636.0999999999985448	166.0000000000000000	107.8999999999978173	97.6999999999970897	1749.2999999999956345
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	4	4	5	1777956000	1777962300	4	HANDOFF_TO_COMPRESSION	1	22	27670.6572940751502757	27712.0999999999985448	27694.0999999999985448	27646.8050000000039291	22.9115940859902736	27723.5999999999985449	29.5000000000000000	0.3999999999978172	0.0000000000000000	112.6999999999970897
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	5	5	6	1777975200	1777985100	4	HANDOFF_TO_COMPRESSION	1	34	27728.9464928352717834	27781.4000000000014552	27776.9000000000014552	27706.5599999999976717	21.4715015864751991	27824.2000000000007276	47.3999999999978172	14.2000000000007276	0.0999999999985448	213.6999999999934517
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	6	6	7	1777995300	1778019600	4	HANDOFF_TO_COMPRESSION	1	82	27832.2376806887004932	27887.9000000000014552	27864.2000000000007276	27811.2200000000011642	20.6016974177954353	28053.4000000000014552	198.7999999999992725	8.7999999999992725	9.5999999999985449	786.1999999999934517
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	7	7	8	1778030400	1778045100	4	HANDOFF_TO_COMPRESSION	1	50	28071.7352245833499183	28157.0000000000000000	28156.9000000000014552	28051.1749999999992724	20.6665799372535873	28155.0000000000000000	108.5000000000000000	23.5000000000000000	110.4000000000014552	510.8999999999941793
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	8	8	9	1778050500	1778056800	4	HANDOFF_TO_COMPRESSION	1	22	28190.8211606499498885	28217.0000000000000000	28195.0000000000000000	28170.1549999999988359	20.3295959589696125	28227.2000000000007276	33.5000000000000000	0.0000000000000000	1.2999999999992724	105.2000000000007276
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	9	9	10	1778069100	1778121300	4	HANDOFF_TO_COMPRESSION	1	163	28236.1765314941731049	28398.7999999999992725	28300.9000000000014552	28216.2549999999973807	19.9549177450616888	28555.9000000000014552	372.0000000000000000	30.1000000000021828	117.0000000000000000	2234.6000000000058208
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	10	10	11	1778139600	1778158200	4	HANDOFF_TO_COMPRESSION	1	63	28580.6311418441291608	28598.0999999999985448	28586.2000000000007276	28558.9600000000027650	20.7312341934822193	28612.7000000000007276	108.2000000000007276	8.0000000000000000	81.7000000000007276	652.3000000000101864
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	11	11	12	1778174400	1778218200	4	HANDOFF_TO_COMPRESSION	1	135	28647.1352550702067674	28779.0999999999985448	28745.4000000000014552	28626.7349999999969441	20.4667182875929293	28637.9000000000014552	65.6999999999970897	263.7000000000007276	173.1999999999970896	2218.4999999999781722
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	12	12	13	1778229000	1778235300	4	HANDOFF_TO_COMPRESSION	1	22	28668.1501799398720323	28713.9000000000014552	28695.9000000000014552	28645.2600000000093133	22.2942587195710260	28710.2000000000007276	24.6999999999970897	5.9000000000014552	10.3999999999978172	155.3000000000065484
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	13	13	14	1778239800	1778250600	4	HANDOFF_TO_COMPRESSION	1	37	28725.1410362808856007	28753.9000000000014552	28746.5000000000000000	28703.1499999999941792	21.7633350174705278	28775.0000000000000000	31.2000000000007276	19.0999999999985448	2.7000000000007276	234.9000000000014552
RG3_USTEC_PERIOD_M5_1777852800_1778457600_2749301626223637730	14	14	15	1778255700	1778276100	4	HANDOFF_TO_COMPRESSION	1	69	28778.5113252043156536	28860.5000000000000000	28797.2000000000007276	28757.3600000000042201	21.1400003403668322	29163.2000000000007276	393.7999999999992725	36.0000000000000000	27.7999999999992725	993.1999999999825377
