run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	1	1	1781504100	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	2	1	1781505300	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	3	1	1781507100	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	5	2	1781513400	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	7	2	1781515500	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	8	2	1781515800	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	9	2	1781521500	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	10	2	1781523300	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	12	3	1781530800	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	14	3	1781542500	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	15	3	1781542800	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	16	3	1781548500	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	17	3	1781550300	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	19	4	1781556600	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	21	4	1781558100	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	22	4	1781558400	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	23	4	1781572200	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	24	4	1781574000	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	26	5	1781586900	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	28	5	1781590800	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	29	5	1781592600	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	31	6	1781610000	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	33	6	1781611200	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	34	6	1781611500	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	35	6	1781613900	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	36	6	1781614200	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	37	6	1781614500	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	38	6	1781614800	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	39	6	1781618400	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	40	6	1781618700	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	41	6	1781621100	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	42	6	1781622900	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	44	7	1781644500	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	46	7	1781647500	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	47	7	1781648700	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	48	7	1781649000	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	49	7	1781650800	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	51	8	1781660700	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	53	8	1781662200	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	54	8	1781663100	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	55	8	1781663700	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	56	8	1781664300	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	57	8	1781664900	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	58	8	1781665200	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	59	8	1781665500	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	60	8	1781667300	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	62	9	1781676000	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	64	9	1781678400	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	65	9	1781680200	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	67	10	1781688900	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	69	10	1781694000	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	70	10	1781694300	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	71	10	1781694600	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	72	10	1781696400	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	74	11	1781707500	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	76	11	1781708700	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	77	11	1781710500	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	79	12	1781727000	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	81	12	1781729400	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	82	12	1781730000	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	83	12	1781730300	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	84	12	1781732100	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	86	13	1781772300	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	88	13	1781773500	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	89	13	1781773800	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	90	13	1781775000	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	91	13	1781775600	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	92	13	1781776800	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	93	13	1781777400	4	1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	94	13	1781777700	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	95	13	1781779500	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	97	14	1781807400	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	99	14	1781807700	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	100	14	1781808000	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	101	14	1781809500	2	1	3	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	102	14	1781811300	6	1	5	1
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	104	15	1781817600	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	106	15	1781820600	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	107	15	1781820900	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	108	15	1781823900	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	109	15	1781824200	5	-1	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	110	15	1781826000	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	111	15	1781831400	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	113	16	1781872200	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	115	16	1781876100	3	-1	4	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	116	16	1781877900	7	-1	5	2
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	118	17	1781889900	1	0	2	0
RG3_JPN225_PERIOD_M5_1781481600_1782086400_9437459071525760070	120	17	1781898600	3	-1	4	0
