run_key	relation_id	bar_time	relation_code	source_kind	source_id	destination_kind	destination_id	structural_snapshot_hash
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	1	1783915800	1	EXPANSION	1	COMPRESSION	1	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	2	1783915800	3	EXPANSION	1	NODE	15148245632681327490	11579013752146492412
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	3	1783993500	2	EXPANSION	1	COMPRESSION	2	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	4	1783993500	3	EXPANSION	1	NODE	15148245632681327490	14558806988209893130
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	5	1784000700	1	EXPANSION	2	COMPRESSION	2	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	6	1784060100	2	EXPANSION	2	COMPRESSION	3	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	7	1784060100	3	EXPANSION	2	NODE	15148245632681327490	5377627463725282878
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	8	1784066400	1	EXPANSION	3	COMPRESSION	3	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	9	1784077500	2	EXPANSION	3	COMPRESSION	4	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	10	1784077500	3	EXPANSION	3	NODE	15148245632681327490	11827193608073322380
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	11	1784084100	1	EXPANSION	4	COMPRESSION	4	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	12	1784096700	2	EXPANSION	4	COMPRESSION	5	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	13	1784096700	3	EXPANSION	4	NODE	15148245632681327490	15776642172299231811
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	14	1784107500	1	EXPANSION	5	COMPRESSION	5	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	15	1784153700	2	EXPANSION	5	COMPRESSION	6	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	16	1784153700	3	EXPANSION	5	NODE	15148245632681327490	3095875881606239432
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	17	1784174700	1	EXPANSION	6	COMPRESSION	6	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	18	1784187000	2	EXPANSION	6	COMPRESSION	7	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	19	1784187000	3	EXPANSION	6	NODE	15148245632681327490	7600912950181189007
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	20	1784194200	1	EXPANSION	7	COMPRESSION	7	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	21	1784194500	3	EXPANSION	7	NODE	15148245632681327490	4718493724530455829
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	22	1784234700	2	EXPANSION	7	COMPRESSION	8	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	23	1784234700	3	EXPANSION	7	NODE	15148245632681327490	10740286250906470252
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	24	1784239200	1	EXPANSION	8	COMPRESSION	8	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	25	1784246100	3	EXPANSION	8	NODE	2357877365102825823	38543260112258833
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	26	1784250600	3	EXPANSION	8	NODE	16043935065620359780	1066083869784160538
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	27	1784256600	2	EXPANSION	8	COMPRESSION	9	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	28	1784256600	3	EXPANSION	8	NODE	16043935065620359780	1951777402596502099
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	29	1784259000	1	EXPANSION	9	COMPRESSION	9	0
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	30	1784286900	3	EXPANSION	9	NODE	2580697270916265007	13803870664327893493
RG3_FRA40_PERIOD_M5_1783900800_1784505600_9090742951363683789	31	1784332500	3	EXPANSION	9	NODE	753777956860998714	9715020757689268155
