run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	16	1	1	\N	1783967100	1	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	18	1	1	2	1783986000	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	23	2	2	\N	1783993500	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	25	2	2	3	1784022300	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	32	3	3	\N	1784040000	1	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	34	3	3	4	1784060100	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	41	4	4	\N	1784084100	1	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	43	4	4	5	1784097000	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	46	5	5	\N	1784100000	1	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	48	5	5	6	1784110800	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	53	6	6	\N	1784115000	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	55	6	6	7	1784121300	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	62	7	7	\N	1784125500	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	64	7	7	8	1784157000	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	77	8	8	\N	1784172900	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	79	8	8	9	1784234700	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	84	9	9	\N	1784239200	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	86	9	9	10	1784252100	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	93	10	10	\N	1784258700	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	95	10	10	11	1784300400	3	2	4
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	98	11	11	\N	1784304900	2	1	0
RG3_JPN225_PERIOD_M5_1783900800_1784505600_16697415774406944896	100	11	11	12	1784322900	3	2	4
