run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	1	1	1783911300	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	2	1	1783911600	2	1	3	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	3	1	1783913400	6	1	5	1
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	5	2	1783927800	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	7	2	1783928100	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	8	2	1783929900	7	-1	5	2
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	10	3	1783948500	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	12	3	1783954200	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	13	3	1783956000	7	-1	5	2
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	15	4	1783979700	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	17	4	1783981200	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	18	4	1783983000	7	-1	5	2
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	20	5	1783993500	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	22	5	1783994400	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	23	5	1783996200	7	-1	5	2
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	25	6	1784034300	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	27	6	1784037600	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	28	6	1784038500	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	29	6	1784040000	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	30	6	1784040300	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	31	6	1784041200	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	32	6	1784042400	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	33	6	1784043000	2	1	3	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	34	6	1784044800	6	1	5	1
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	36	7	1784065200	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	38	7	1784071200	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	39	7	1784072100	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	40	7	1784072700	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	41	7	1784073000	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	42	7	1784077500	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	43	7	1784078100	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	44	7	1784082300	2	1	3	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	45	7	1784084100	6	1	5	1
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	47	8	1784096400	1	0	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	49	8	1784105700	2	1	3	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	50	8	1784106300	4	1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	51	8	1784107500	2	1	3	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	52	8	1784108100	4	1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	53	8	1784111100	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	54	8	1784111700	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	55	8	1784113200	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	56	8	1784113800	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	57	8	1784114400	3	-1	4	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	58	8	1784114700	5	-1	2	0
RG3_US500_PERIOD_M5_1783900800_1784505600_3208920806467451907	59	8	1784117100	2	1	3	0
