object_key	object_kind	raw_history_sha256	duration_seconds	observed_bars	raw_direction	censored	terminal_reason_code	event_multiplicity	event_order_and_type_blake3	event_timing_gaps_blake3	raw_summary_coordinates_blake3	raw_continuous_trajectory_blake3
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	COMPRESSION	bc8b889ee962564743bc5a4caed92c5f437e06bf53c37dd3a9676c299cd1db76	196500	23	-1	0	2	3	34908af7943f5fec4c70bacb11d1de7842f7134ae42f6d398a223c10d045a9c9	bc06fbb5958f8400c3bf5a205a8bd6d97b24ace5453e1667c0ca8452b3c06804	a16676b63da47d83992fde80d66fa1fadedc944a8a288682fd9a0369bf188505	b65442119fe14e4e4f7183eef165fcdd991f3696e25f161eb73fd119bed4cb05
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	COMPRESSION	0b0efa997905b6757e466708134918db31403c8b3ecbeb83f78a37a721c4fd50	27600	73	1	0	1	21	0b63112a26a946a777cc2a7d86943298f16b7977206e9e17d2136e82b7dbd4a2	8f88a14bfe46d8b041e5926637f7144e49d777b5fa8e8bb2fdf154ed7d31a093	7ea22c09e1df9cca5ddd7086fa8dd60cd53b2f13e7a4813396fa93e0d9d07946	21a757e1d5f49cdb76b70f3ea6f54e3234a1998f0f2d394e0ccd133224f712bf
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	COMPRESSION	a6164109c1ba5fd6a6e2b6dc29cb1146d03f314989812e610f616903c5ea95b2	23100	34	1	0	1	5	1bad1b491fe6f32e0a8f1f88ed7155db569bd4ba9dd76432c34b8c8c312da22e	69dac8ac8829481a234f7769d82f3f332ce9603ce4b1e2e6710ed5b164b80199	b07dfc6534f5f87ac8ff8a08ea2a2f1ae0f816d559e311afe98e5d16350c1ac9	2e00d4b90e6d45a8db8b5e77a61c53435be555c201a3df58b1215876b4f44cc5
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	COMPRESSION	72330c0dd0df9621d1aafeb570632ca88b54e9c55e3d8dcaaae18016ea990e72	29400	79	-1	0	2	11	199a958057777ed97b52dea1feec69dc23a59271f61ba67a4c6925400e8f3937	70f2261c626b82e3eb382e82cc612ec71bcf3f0c17e5b31eac565f1b65c31218	44bbdb05ef7cb3ae31c634c550cf53bd4689832b93def808506c1cc37e1e2774	eefeb232caa865a1bdded4dfcf02f46b75638ba292a6cc761f01bc48667c5c08
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	COMPRESSION	909315e4a42a04538779eca905bf9cff7b6e31d61f68bcea8ac9aa5e699c4096	8100	8	1	0	1	3	9c894f37e79fc1a9af00da59c4badbb9acf3767caf641ae2c6d6be9e44080358	e9e7a10ba26be74fd86d1956922d4e5c192e4dcdee9087d7bd21e90486a2e03e	6f224ecf1cf24b1a1e4c568ee11953de9f8e1848e68ea4c2c69cb92d4c3354f5	377f026a3c20020737732c998fff28d9c4c898433bf8dd5cda77c521683cee8a
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	COMPRESSION	9bd5e6ac81033a3a9307f67482624744b07098701aff15a213f0af347d307356	8400	9	-1	0	2	3	5e24568e0188dde74bf8a85ab59f186007ef7e67b4491138b9d9b69f6f8f5342	5468e009e8faa6cebdc6e53caf0c670bcf5d86001b3b6eb4294ed7b14917629b	d7a23caa9f40910a8a35f4f84ff79c3fd58ba94cbb54b9e83096e4f68d4b49ef	21f19aa44523121ebc7d3ea88a52a70d77d5f9b6653e9dfdc61749dd2a7f766b
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	COMPRESSION	22835fd0609c6f6b3ae1e1b7e39a5a783742119e699d686f4b2afdb984a541eb	9900	14	-1	0	2	3	edb0c84269cdf1773ecbc036cbfd0110a34e15d1bf2e2186f11d6f715f8445f7	08ecb244a063bac5aa619f5e90d1e580ebf8b10a38f2c8e1c54fac33c08a7a6c	d2c777f7686c429338e1848ccb4d423e5ce83a2f07947b5ecb9a325de644e71e	14ce2683ef293219c8ed6cde24fdbc992310ccfbe2856dd21d166fae086eeadb
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	COMPRESSION	67e5d907471a23098b26f58cfad382f35d88028bb95a922c610ff78be7561d52	19200	21	1	0	1	5	fbc35e72373ea6463ab5083caaed1f2e323f86c64269d7415fcee72064840596	5ce69292dc57fa81a8d8ce68cfba6d104b7ae53054e2002c05ff6f8ec83a73cf	510e062c1b3b86c173195eaeedb149625a7875bcfe5b7562638cc00169aaeeba	7d72a1c5406aac742bde8f5715db72f530bf465ff585f572e49d05fc00ee22c2
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	EXPANSION	0cf6186ecb593cd313d9943e33e10db728f61f1e128cba3b5682bc5d7d3c0344	8100	27	-1	0	4	2	3e1f7b0cc8c5b20c984dd67001c87bd40076d5f56923069bcb817ce913d2c3b2	d92cc1dfad8dc1b8872cd887b46297a5f1f491d48a7ddc89b3cf1063414b8fa2	a35ac87ff099543ca3fdb15b1b055d25b89f25b1b3750d1e7b87469606737c05	1af7b2c5eeba5f7579e37652d5a4c13951b04bd1fb4db4bdb01daebe7ace2dfa
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	EXPANSION	3f2d7dc758192af57e98d7d36bf5557f4f043b4e73e7cc86776b07c93dc914dd	33000	110	1	0	4	2	819bb127f9e4c718ac68e8d4bb7539d20e47e3b1c8b3a0d12c47a14eb1d8df9e	0656276f8c40a11f1bb1b939185cd318ce2ada5245db09d741f78fb972766280	8915dcff003fac50f4ac9ba74e75c8ff66812e14fc3fd0391a8b895b987d58fd	aa7678a65b32be9edee4863fc620b108dff81fbb7a3ad143482143c34a5f8492
