object_key	representation_id	availability	byte_offset	byte_length	dimensions
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	SUMMARY_RAW_V1	AVAILABLE	8	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	SUMMARY_CANONICAL_V1	AVAILABLE	48	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	TRAJECTORY_RAW_U21_V1	AVAILABLE	88	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	508	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	SUMMARY_RAW_V1	AVAILABLE	928	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	SUMMARY_CANONICAL_V1	AVAILABLE	968	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	TRAJECTORY_RAW_U21_V1	AVAILABLE	1008	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::2	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	1428	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	SUMMARY_RAW_V1	AVAILABLE	1848	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	SUMMARY_CANONICAL_V1	AVAILABLE	1888	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	TRAJECTORY_RAW_U21_V1	AVAILABLE	1928	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::3	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	2348	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	SUMMARY_RAW_V1	AVAILABLE	2768	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	SUMMARY_CANONICAL_V1	AVAILABLE	2808	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	TRAJECTORY_RAW_U21_V1	AVAILABLE	2848	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::4	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	3268	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	SUMMARY_RAW_V1	AVAILABLE	3688	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	SUMMARY_CANONICAL_V1	AVAILABLE	3728	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	TRAJECTORY_RAW_U21_V1	AVAILABLE	3768	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::5	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	4188	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	SUMMARY_RAW_V1	AVAILABLE	4608	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	SUMMARY_CANONICAL_V1	AVAILABLE	4648	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	TRAJECTORY_RAW_U21_V1	AVAILABLE	4688	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::6	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	5108	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	SUMMARY_RAW_V1	AVAILABLE	5528	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	SUMMARY_CANONICAL_V1	AVAILABLE	5568	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	TRAJECTORY_RAW_U21_V1	AVAILABLE	5608	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::7	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	6028	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	SUMMARY_RAW_V1	AVAILABLE	6448	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	SUMMARY_CANONICAL_V1	AVAILABLE	6488	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	TRAJECTORY_RAW_U21_V1	AVAILABLE	6528	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::COMPRESSION::8	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	6948	420	105
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	SUMMARY_RAW_V1	AVAILABLE	7368	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	SUMMARY_CANONICAL_V1	AVAILABLE	7408	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	TRAJECTORY_RAW_U21_V1	AVAILABLE	7448	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::1	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	7952	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	SUMMARY_RAW_V1	AVAILABLE	8456	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	SUMMARY_CANONICAL_V1	AVAILABLE	8496	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	TRAJECTORY_RAW_U21_V1	AVAILABLE	8536	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::2	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	9040	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	SUMMARY_RAW_V1	AVAILABLE	9544	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	SUMMARY_CANONICAL_V1	AVAILABLE	9584	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	TRAJECTORY_RAW_U21_V1	AVAILABLE	9624	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::3	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	10128	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	SUMMARY_RAW_V1	AVAILABLE	10632	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	SUMMARY_CANONICAL_V1	AVAILABLE	10672	40	10
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	TRAJECTORY_RAW_U21_V1	AVAILABLE	10712	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::4	TRAJECTORY_CANONICAL_U21_V1	AVAILABLE	11216	504	126
RG3_DE40_PERIOD_M5_1768176000_1768780800_8137587626228657912::EXPANSION::5	SUMMARY_RAW_V1	AVAILABLE	11720	40	10
