run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	1	1	1785724500	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	2	1	1785726000	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	3	1	1785726300	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	4	1	1785730500	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	5	1	1785730800	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	6	1	1785738600	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	7	1	1785740400	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	9	2	1785746700	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	11	2	1785747900	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	12	2	1785749700	7	-1	5	2
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	14	3	1785789900	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	16	3	1785790800	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	17	3	1785792600	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	19	4	1785798900	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	21	4	1785807300	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	22	4	1785807900	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	23	4	1785810600	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	24	4	1785810900	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	25	4	1785817500	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	26	4	1785818100	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	27	4	1785818400	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	28	4	1785820200	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	30	5	1785826500	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	32	5	1785834000	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	33	5	1785835800	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	35	6	1785879300	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	37	6	1785881100	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	38	6	1785881400	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	39	6	1785882000	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	40	6	1785882300	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	41	6	1785883200	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	42	6	1785883800	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	43	6	1785884400	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	44	6	1785885300	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	45	6	1785887100	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	46	6	1785892500	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	48	7	1785898800	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	50	7	1785899700	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	51	7	1785901500	7	-1	5	2
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	53	8	1785911100	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	55	8	1785916800	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	56	8	1785918000	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	57	8	1785918300	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	58	8	1785918600	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	59	8	1785919500	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	60	8	1785919800	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	61	8	1785921300	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	62	8	1785923100	7	-1	5	2
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	64	9	1785932100	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	66	9	1785933600	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	67	9	1785935400	7	-1	5	2
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	69	10	1785944400	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	71	10	1785944700	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	72	10	1785945000	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	73	10	1785945300	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	74	10	1785945900	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	75	10	1785946200	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	76	10	1785947400	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	77	10	1785947700	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	78	10	1785948000	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	79	10	1785948300	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	80	10	1785948600	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	81	10	1785952800	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	82	10	1785953400	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	83	10	1785957600	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	84	10	1785958500	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	85	10	1785958800	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	86	10	1785960600	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	88	11	1785967500	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	90	11	1785970500	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	91	11	1785970800	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	92	11	1785972600	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	93	11	1785972900	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	94	11	1785973200	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	95	11	1785973500	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	96	11	1785978000	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	97	11	1785978300	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	98	11	1785978900	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	99	11	1785980700	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	101	12	1786000500	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	103	12	1786005000	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	104	12	1786005600	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	105	12	1786005900	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	106	12	1786006500	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	107	12	1786006800	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	108	12	1786008600	6	1	5	1
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	110	13	1786049400	1	0	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	112	13	1786053900	2	1	3	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	113	13	1786054200	4	1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	114	13	1786056000	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	115	13	1786056600	5	-1	2	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	116	13	1786058400	3	-1	4	0
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	117	13	1786060200	7	-1	5	2
