run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	1	1785718800	1785724500	1785740400	1	CLOSED_UP	1	3	54	8568.5142639215191594	8554.7857360784801131	8561.6499999999996363	8583.0000000000000000	8553.5000000000000000	8568.2500000000000000
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	2	1785741000	1785746700	1785749700	2	CLOSED_DOWN	-1	1	11	8583.1528877864766400	8570.2971122135240876	8576.7250000000003638	8583.1528877864766400	8560.8999999999996363	8572.0264438932390476
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	3	1785784200	1785789900	1785792600	1	CLOSED_UP	1	1	10	8618.8844888839521446	8605.9655111160427624	8612.4249999999974534	8631.8999999999996363	8605.9655111160427624	8618.9327555580202898
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	4	1785793200	1785798900	1785820200	1	CLOSED_UP	1	4	60	8632.5595467454168102	8620.0104532545828988	8626.2849999999998545	8646.5000000000000000	8620.0104532545828988	8633.2552266272905399
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	5	1785820800	1785826500	1785835800	1	CLOSED_UP	1	1	32	8644.2421892871607270	8632.6578107128407283	8638.4500000000007276	8656.3999999999996362	8632.6578107128407283	8644.5289053564192728
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	6	1785873600	1785879300	1785892500	1	CLOSED_UP	1	5	33	8702.3609372032678948	8690.6690627967309411	8696.5149999999994180	8718.2999999999992724	8690.6690627967309411	8704.4845313983641973
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	7	1785893100	1785898800	1785901500	2	CLOSED_DOWN	-1	1	10	8716.8167885747407127	8705.4832114252585598	8711.1499999999996362	8716.8167885747407127	8693.5000000000000000	8705.1583942873694468
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	8	1785905400	1785911100	1785923100	2	CLOSED_DOWN	-1	4	41	8711.7801501611083950	8700.8398498388905864	8706.3099999999994907	8711.7801501611083950	8690.3999999999996362	8701.0900750805540156
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	9	1785926400	1785932100	1785935400	2	CLOSED_DOWN	-1	1	12	8680.0746622836668394	8669.2553377163312689	8674.6649999999990542	8680.0746622836668394	8660.8999999999996363	8670.4873311418341473
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	10	1785938700	1785944400	1785960600	1	CLOSED_UP	1	8	55	8677.4350115253491822	8666.7749884746499447	8672.1049999999995634	8686.3999999999996362	8663.3999999999996362	8674.8999999999996363
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	11	1785961800	1785967500	1785980700	1	CLOSED_UP	1	5	33	8686.3342028874249081	8675.8657971125758195	8681.1000000000003638	8699.2999999999992724	8672.0000000000000000	8685.6499999999996363
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	12	1785994800	1786000500	1786008600	1	CLOSED_UP	1	3	28	8686.1549852613516123	8676.4450147386469326	8681.2999999999992724	8697.7000000000007276	8672.7999999999992725	8685.2500000000000000
RG3_FRA40_PERIOD_M5_1785715200_1786060800_6098486160590205421	13	1786043700	1786049400	1786060200	2	CLOSED_DOWN	-1	3	37	8713.5397789915641625	8703.2902210084375838	8708.4150000000008731	8714.2000000000007276	8693.7999999999992725	8704.0000000000000000
