run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	1	1	1785745800	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	2	1	1785754800	3	-1	4	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	3	1	1785756600	7	-1	5	2
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	5	2	1785774300	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	7	2	1785774600	3	-1	4	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	8	2	1785775800	5	-1	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	9	2	1785777600	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	10	2	1785779400	6	1	5	1
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	12	3	1785787500	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	14	3	1785790500	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	15	3	1785792300	6	1	5	1
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	17	4	1785806400	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	19	4	1785811200	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	20	4	1785813000	6	1	5	1
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	22	5	1785825300	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	24	5	1785827700	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	25	5	1785828900	4	1	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	26	5	1785829500	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	27	5	1785830400	4	1	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	28	5	1785830700	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	29	5	1785831000	4	1	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	30	5	1785831600	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	31	5	1785833400	6	1	5	1
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	33	6	1785842700	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	35	6	1785843300	3	-1	4	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	36	6	1785845100	7	-1	5	2
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	38	7	1785879900	1	0	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	40	7	1785881100	2	1	3	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	41	7	1785881400	4	1	2	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	42	7	1785882600	2	1	3	0
