run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	4	1	1	\N	1785756600	2	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	6	1	1	2	1785774300	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	11	2	2	\N	1785779400	1	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	13	2	2	3	1785787500	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	16	3	3	\N	1785792300	1	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	18	3	3	4	1785806400	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	21	4	4	\N	1785813000	1	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	23	4	4	5	1785825300	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	32	5	5	\N	1785833400	1	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	34	5	5	6	1785842700	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	37	6	6	\N	1785845100	2	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	39	6	6	7	1785879900	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	48	7	7	\N	1785895200	1	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	50	7	7	8	1785920700	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	55	8	8	\N	1785927300	2	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	57	8	8	9	1785957900	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	60	9	9	\N	1785972300	2	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	62	9	9	10	1786020900	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	65	10	10	\N	1786026600	2	1	0
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	67	10	10	11	1786047900	3	2	4
RG3_JPN225_PERIOD_M5_1785715200_1786060800_16673594142441126755	74	11	11	\N	1786056000	2	1	0
