run_key	sequence	compression_id	bar_time	event_code	event_direction	state_code	terminal_reason_code
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	1	1	1785724500	1	0	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	2	1	1785732900	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	3	1	1785734700	6	1	5	1
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	5	2	1785741000	1	0	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	7	2	1785752100	3	-1	4	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	8	2	1785752400	5	-1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	9	2	1785753600	3	-1	4	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	10	2	1785753900	5	-1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	11	2	1785754800	3	-1	4	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	12	2	1785756600	7	-1	5	2
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	14	3	1785762900	1	0	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	16	3	1785764400	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	17	3	1785764700	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	18	3	1785765300	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	19	3	1785765600	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	20	3	1785766500	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	21	3	1785766800	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	22	3	1785767400	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	23	3	1785767700	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	24	3	1785768000	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	25	3	1785768600	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	26	3	1785771600	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	27	3	1785773400	6	1	5	1
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	29	4	1785798600	1	0	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	31	4	1785817800	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	32	4	1785818100	4	1	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	33	4	1785818400	2	1	3	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	34	4	1785820200	6	1	5	1
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	36	5	1785826500	1	0	2	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	38	5	1785833700	2	1	3	0
