run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	4	1	1	\N	1785734700	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	6	1	1	2	1785741000	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	13	2	2	\N	1785756600	2	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	15	2	2	3	1785762900	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	28	3	3	\N	1785773400	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	30	3	3	4	1785798600	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	35	4	4	\N	1785820200	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	37	4	4	5	1785826500	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	40	5	5	\N	1785835500	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	42	5	5	6	1785848700	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	47	6	6	\N	1785852600	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	49	6	6	7	1785860100	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	52	7	7	\N	1785862800	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	54	7	7	8	1785897600	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	61	8	8	\N	1785906900	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	63	8	8	9	1785914400	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	66	9	9	\N	1785919200	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	68	9	9	10	1785942000	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	71	10	10	\N	1785944400	1	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	73	10	10	11	1785967200	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	78	11	11	\N	1785972300	2	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	80	11	11	12	1785987600	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	83	12	12	\N	1785990000	2	1	0
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	85	12	12	13	1785998400	3	2	4
RG3_US500_PERIOD_M5_1785715200_1786060800_8620801695057607233	94	13	13	\N	1786014300	2	1	0
