run_key	compression_id	start_time	confirm_time	terminal_time	terminal_reason_code	terminal_reason	direction	escape_count	sample_count	seed_top	seed_bottom	seed_mid	terminal_contain_top	terminal_contain_bottom	terminal_contain_mid
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	1	1785718800	1785724500	1785732900	1	CLOSED_UP	1	1	29	52721.3194911396203679	52649.6805088603796321	52685.5000000000000000	52755.0000000000000000	52643.0000000000000000	52699.0000000000000000
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	2	1785743400	1785749100	1785758700	1	CLOSED_UP	1	3	33	52817.7868669443196268	52752.7131330556803733	52785.2500000000000000	52864.5000000000000000	52712.5000000000000000	52788.5000000000000000
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	3	1785779700	1785785400	1785787800	2	CLOSED_DOWN	-1	1	9	53065.9097877666208660	52999.1802122333465377	53032.5449999999837019	53065.9097877666208660	52930.8000000000029104	52998.3548938833118882
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	4	1785798000	1785807300	1785816000	1	CLOSED_UP	1	5	30	53287.1267844494432211	53222.3732155506004347	53254.7500000000218279	53320.8000000000029104	53222.3732155506004347	53271.5866077753016726
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	5	1785816600	1785822300	1785837600	2	CLOSED_DOWN	-1	1	52	53354.9876747356756824	53293.6623252643767046	53324.3250000000261935	53354.9876747356756824	53274.8000000000029104	53314.8938373678392964
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	6	1785886200	1785895500	1785908100	1	CLOSED_UP	1	1	43	54261.1441044266321114	54195.1958955733643961	54228.1699999999982538	54315.0999999999985448	54195.1958955733643961	54255.1479477866814705
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	7	1785908700	1785914400	1785923400	2	CLOSED_DOWN	-1	1	31	54359.8209507090941771	54298.3790492908883607	54329.0999999999912689	54360.0999999999985448	54272.5999999999985449	54316.3499999999985448
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	8	1785924000	1785929700	1785938100	1	CLOSED_UP	1	1	29	54284.0903147359713330	54225.0096852640053839	54254.5499999999883585	54336.0999999999985448	54225.0096852640053839	54280.5548426320019644
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	9	1785954300	1785960000	1785963600	1	CLOSED_UP	1	1	13	54554.8790176375259762	54491.4709823624943966	54523.1750000000101864	54596.4000000000014552	54491.4709823624943966	54543.9354911812479260
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	10	1785970800	1785980100	1785996600	1	CLOSED_UP	1	4	56	54457.3292462682293263	54395.2007537317986135	54426.2650000000139699	54492.0000000000000000	54395.2007537317986135	54443.6003768658993068
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	11	1785997200	1786002900	1786018200	1	CLOSED_UP	1	3	52	54503.4928473185063922	54446.7071526814906975	54475.0999999999985448	54542.5000000000000000	54433.0000000000000000	54487.7500000000000000
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	12	1786019400	1786025100	1786028700	2	CLOSED_DOWN	-1	2	13	54539.4756450666172896	54485.1243549333885312	54512.3000000000029104	54539.4756450666172896	54410.0000000000000000	54474.7378225333086448
