run_key	sequence	expansion_id	origin_compression_id	destination_compression_id	bar_time	event_code	state_code	terminal_reason_code
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	4	1	1	\N	1785732900	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	6	1	1	2	1785749100	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	13	2	2	\N	1785758700	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	15	2	2	3	1785785400	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	18	3	3	\N	1785787800	2	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	20	3	3	4	1785807300	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	31	4	4	\N	1785816000	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	33	4	4	5	1785822300	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	36	5	5	\N	1785837600	2	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	38	5	5	6	1785895500	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	41	6	6	\N	1785908100	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	43	6	6	7	1785914400	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	46	7	7	\N	1785923400	2	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	48	7	7	8	1785929700	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	51	8	8	\N	1785938100	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	53	8	8	9	1785960000	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	56	9	9	\N	1785963600	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	58	9	9	10	1785980100	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	67	10	10	\N	1785996600	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	69	10	10	11	1786002900	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	76	11	11	\N	1786018200	1	1	0
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	78	11	11	12	1786025100	3	2	4
RG3_US30_PERIOD_M5_1785715200_1786060800_11126998680303349651	83	12	12	\N	1786028700	2	1	0
